	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0358651747912524	1.03651608857168	0.179662751805106	0.199624988657405	0.841773883005295	0.728864563553906	1.47402639062239
BRCA	-0.504887536196958	0.603573451775955	0.222590644772428	-2.26823340537579	0.0233149844111107	0.390176068810593	0.933683382477223
CESC	0.619081697597254	1.85722176731689	0.469350356667038	1.31901827452203	0.187163003096852	0.7402050048266	4.65988836944393
CHOL	-1.28841344490019	0.275707861987686	0.643065480468393	-2.00354938032398	0.045118352902394	0.078175527629797	0.972360884109307
COAD	0.0570942923724952	1.05875563826995	0.227611606487926	0.25084086551414	0.801937145285196	0.677723250952759	1.6540136405126
ESCA	-0.177187806303222	0.837622458972576	0.291338677312436	-0.608184975430515	0.543064798302056	0.473217047686663	1.48264181775596
GBM	-0.0682007786551172	0.934072912845525	0.194116047438679	-0.351340239794764	0.725333109729771	0.638482354053403	1.36650950644557
HNSC	0.0832152231331293	1.08677568264721	0.150183963185712	0.554088608184007	0.579518206002392	0.809660758454788	1.45873610899379
KICH	-18.1054464356928	1.37058041164809e-08	11080.2201751771	-0.00163403309225337	0.998696230804041	0	Inf
KIRC	0.21071824846687	1.23456446562357	0.183806559107442	1.14641310674717	0.251624262081853	0.861107448352663	1.76998750004563
KIRP	0.511544559831521	1.66786532427001	0.325475876674745	1.5716819478536	0.116024330795155	0.881283037419879	3.15650548324007
LIHC	-0.428786666271436	0.651298858375231	0.201165055522596	-2.1315166551045	0.03304660182618	0.439084707015211	0.966078290005633
LUAD	-0.502518415429535	0.605005085362038	0.179319158159564	-2.8023688075893	0.00507288442129305	0.425718262490786	0.859796690826363
LUSC	0.251822082778349	1.28636715005459	0.159401457437771	1.57979786901672	0.114153163803452	0.941200554598549	1.75811673362791
PAAD	-0.342459599148496	0.71002180429158	0.249645125405113	-1.37178564409286	0.170130177610851	0.435284667508944	1.15816384127316
PCPG	-0.57771704260451	0.561178050858637	1.09725528052788	-0.526511061606899	0.598533168435662	0.0653303956294817	4.82043314954892
PRAD	-0.299798739624368	0.740967333039789	0.692651502616398	-0.432827675233387	0.665139966052868	0.190639562977668	2.87995094017505
READ	0.267356100220862	1.30650561043965	0.408214489849621	0.654940250453509	0.512506224005316	0.587000505584641	2.90793090273439
SARC	-0.485136307590169	0.615613278282613	0.298211122681536	-1.6268216397423	0.103774984283581	0.343139102344059	1.10444920386214
STAD	0.321911721750372	1.37976296752113	0.187459185832838	1.71723631637571	0.0859360025528779	0.955518139621737	1.99237017865131
THCA	-1.16727579394881	0.311213597474345	0.756227669466828	-1.54355076001357	0.122697201551282	0.0706897432955855	1.37012667945241
THYM	-0.420386015173841	0.656793238718908	1.06345683736821	-0.395301436223957	0.692620439595011	0.081698215821203	5.28013193545064
UCEC	-0.876469536550704	0.416249875598203	0.371253902477272	-2.36083588806009	0.0182337976872057	0.201067659220722	0.861719679868155
