	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0304713080294923	0.969988262542575	0.157885374351808	-0.192996394723647	0.846961791605002	0.711826586554921	1.32177871302053
BRCA	-0.162978026076235	0.849609857471711	0.175970149631082	-0.926168594036636	0.354358371028389	0.601774082884979	1.19951478543663
CESC	-0.0471147032109184	0.953977966978512	0.256925943337522	-0.183378535460018	0.854501016507777	0.576557445567828	1.57846190085042
CHOL	1.18461829192149	3.26943861212486	0.533733338986236	2.21949465283831	0.0264530905991074	1.14857284823484	9.30653101793278
COAD	0.539305074389321	1.71481477932066	0.205417354829678	2.62541144508694	0.00865443177463165	1.14647779687569	2.56489025377557
ESCA	-0.125331435959013	0.882204459843059	0.263639422267385	-0.475389586584288	0.634509315395596	0.526209841014917	1.47903868058773
GBM	0.130323659447032	1.1391970355451	0.185543912707857	0.702387146767943	0.482437758789831	0.791887670810672	1.63883077566569
HNSC	-0.255077271050207	0.774856621662843	0.144303859296901	-1.76763998061474	0.0771211097054109	0.58396884913299	1.028141800759
KICH	-19.7101603378844	2.75414072956823e-09	8700.31715376197	-0.00226545308516275	0.998192431506283	0	Inf
KIRC	-0.0416533325258325	0.959202247161718	0.159375697966663	-0.261353098729927	0.793820222135351	0.701858150245618	1.31090441941596
KIRP	0.717472415983084	2.04924701513037	0.310148807210384	2.31331670250919	0.0207052330407744	1.11582263710401	3.76351329447826
LIHC	-0.292162972394843	0.746646843233204	0.185538840518947	-1.57467283711416	0.115331980747661	0.519020230116887	1.07410362094086
LUAD	-0.106520267479675	0.89895682838735	0.158049025297448	-0.673969784243868	0.50033052393744	0.659488552478855	1.22537893382183
LUSC	0.141444624051519	1.1519367129065	0.146664127554462	0.964411860009842	0.334839478480325	0.864147520201059	1.5355690544979
PAAD	-0.155175953215924	0.856264501735299	0.216896858480957	-0.715436610298105	0.474339297202313	0.559738267373819	1.30987809779734
PCPG	-1.24663359622346	0.287470912946368	1.11021748862432	-1.12287331896399	0.261491300595979	0.0326268441608535	2.53286911179019
PRAD	-0.178034468781222	0.836913575600656	0.696921342156091	-0.255458482919221	0.798369005840593	0.213530585392836	3.28020612005579
READ	-0.106654956993974	0.898835756482499	0.40811265644789	-0.261337048260821	0.793832598593114	0.403918939777905	2.0001679484891
SARC	-0.311761076788881	0.732156436499507	0.217363911855724	-1.43428168055705	0.15149189595596	0.478171169422698	1.12104844830951
STAD	0.209608861018627	1.23319561473475	0.167252717089839	1.25324637270937	0.21011605830531	0.888517939523436	1.71158212631778
THCA	0.506962815812463	1.66024107182007	0.500784162340459	1.0123379570215	0.3113764921695	0.622161168537376	4.4303639570406
THYM	-0.461833670065959	0.63012714023163	0.833065614033103	-0.554378505469807	0.579319833239718	0.123117970891012	3.22503863556996
UCEC	-0.684588188645049	0.504297862405129	0.269260970456835	-2.54247092507896	0.0110071758538354	0.297503290610275	0.854835365029735
