	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.14848812624619	1.16007902319993	0.157865045813483	0.94060167329016	0.346909024098957	0.851358748644812	1.58074764863896
BRCA	-0.239042946970369	0.787381066015227	0.179270027730094	-1.33342394150944	0.182392719939574	0.554102414928201	1.11887067519749
CESC	0.273512861446202	1.31457426642954	0.299631907350876	0.912829557654257	0.361332190271138	0.730698110853882	2.36500611714915
CHOL	0.128244306294608	1.13683070367044	0.53217053120329	0.240983479496008	0.809567920713279	0.4006004355538	3.22611743300081
COAD	0.365349285941041	1.4410172473222	0.217581183155386	1.67914008299204	0.093124745973573	0.940727283750207	2.20736736666335
ESCA	-0.200007359960464	0.818724727274184	0.284229709169214	-0.703682104678898	0.481630767203829	0.469030559754014	1.42913966928239
GBM	0.210479515118298	1.23426976909301	0.190209130796077	1.10656893408526	0.268480344889284	0.850166105144168	1.79191084386805
HNSC	0.189384279399572	1.20850526694231	0.143978549447681	1.31536454649719	0.188387414783988	0.911368017792704	1.60251945615179
KICH	-18.2192039225024	1.22320788454909e-08	7911.59340309762	-0.00230284886927696	0.998162594065337	0	Inf
KIRC	-0.464581176655537	0.628398237934393	0.174840295372121	-2.65717451269884	0.00787986408720177	0.446077819663888	0.885236449856638
KIRP	-0.412660559247356	0.661886916093813	0.338697863281663	-1.21837367159351	0.223082005496609	0.340787496654596	1.28553510324414
LIHC	-0.143984416653956	0.865901241592756	0.222911139458103	-0.645927417552939	0.518326362443042	0.559404629876284	1.34032669761367
LUAD	0.572013819044299	1.77183160927989	0.172669043583605	3.31277574238334	0.000923750166298873	1.26312487772914	2.48541320576902
LUSC	0.275221371234407	1.31682214914907	0.143339430387046	1.92006742660587	0.0548493830937977	0.994297571034873	1.74396541136553
PAAD	-0.182840787517834	0.832900753377554	0.220811508605814	-0.828040117438966	0.407647780676994	0.540303969260955	1.2839507100527
PCPG	0.59537625136325	1.81371322867185	0.817468936281501	0.728316667384935	0.466419761749963	0.365374135276037	9.0032527162166
PRAD	-1.80119665811736	0.165101200271241	1.05491293461326	-1.70743631916666	0.0877409846029936	0.0208836647445093	1.30525013997705
READ	0.204936818300372	1.22744751029328	0.414513946435254	0.494402709638102	0.621021800741677	0.544713349012202	2.76590869905673
SARC	-0.230767577651218	0.793923970266882	0.219521835535036	-1.05122835315573	0.293153724032145	0.516323140039818	1.22077672233656
STAD	0.178166479047033	1.19502425117402	0.177281039527971	1.0049945528378	0.314899472794977	0.844257299541033	1.69152574892795
THCA	1.24571966931876	3.47543506353176	0.539504402333726	2.3090074222382	0.0209431693776877	1.20720826062304	10.0054392227172
THYM	0.54278757588516	1.72079703491578	0.710982247145397	0.76343337413059	0.445204982574472	0.427110711361352	6.93296224282633
UCEC	0.50636152279995	1.65924308053716	0.218426795194385	2.31822072172658	0.0204373284127955	1.08139607776356	2.54586423690763
