	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.150103477154116	1.16195447224967	0.15550494453821	0.965264979836277	0.334412107658697	0.85668874856457	1.57599618046023
BRCA	0.134229059717942	1.14365475487967	0.168662020922944	0.795846385472087	0.4261213270724	0.821730803804867	1.5916966874099
CESC	-0.596571601745875	0.550696409980683	0.268916041537349	-2.21843069805495	0.0265254799590934	0.325095153981122	0.932854680396815
CHOL	0.671687074340689	1.95753704693434	0.477543962152198	1.40654500438771	0.159562350604907	0.767757084176349	4.99109857674754
COAD	0.247635005768358	1.28099229205886	0.209856723356271	1.18001940470571	0.237992497238142	0.8490165376175	1.93275534646121
ESCA	0.0411762243205109	1.04203572140317	0.263523575314848	0.156252526064566	0.875833975329697	0.621685778982193	1.74660331857345
GBM	-0.140115344125415	0.869257965816336	0.185579833654724	-0.755013846957656	0.45024067390781	0.604202945895429	1.25058875708615
HNSC	-0.0869831250988786	0.91669256459902	0.141622438519962	-0.614190279505873	0.539089596004364	0.694503550839647	1.20996538747021
KICH	-19.5979710763352	3.08112490934286e-09	9063.24973803165	-0.00216235584837712	0.998274690998147	0	Inf
KIRC	-0.271648961173618	0.762121748462005	0.161945877549559	-1.67740584251974	0.0934631476679183	0.554850234934679	1.04682222860942
KIRP	1.29096576883698	3.63629668251243	0.304931715139549	4.23362249560095	2.29956833233994e-05	2.00032684442289	6.61024652052089
LIHC	-0.106975974280202	0.898547260975689	0.179371265091444	-0.596394156141258	0.550911943509448	0.632207766928041	1.2770915234561
LUAD	-0.0784021397437299	0.924592536367012	0.15189648872989	-0.516155050056151	0.605746121835773	0.686524211045099	1.24521662099026
LUSC	0.210121299366744	1.23382771340043	0.142215665386376	1.47748350222797	0.139546077420683	0.933684882272249	1.63045461617644
PAAD	-0.095473776691303	0.908942196812966	0.216449465714463	-0.441090378191327	0.659147568933593	0.594694807283655	1.38924353639617
PCPG	-1.05607015972772	0.34782000510416	1.12094582349337	-0.942124175490064	0.346129068492579	0.0386548277465285	3.12971918395168
PRAD	-0.252140896794916	0.77713523449102	0.704721267849477	-0.357788118931542	0.720501882525628	0.195270558826524	3.09283271537081
READ	0.00481178740483735	1.00482338264433	0.404355399354164	0.0118998965081775	0.990505480384091	0.454885185113791	2.219615110253
SARC	-0.286809261028895	0.750654894325213	0.214016080106267	-1.3401294934777	0.180203248942564	0.493479939612488	1.14185547403787
STAD	0.321249678165383	1.3788498066092	0.168800609350082	1.90313103372235	0.057023449409707	0.990452433483427	1.91955385732113
THCA	0.988752211292803	2.68787847458973	0.516836632160023	1.91308461855828	0.0557372205374097	0.976062191664106	7.40187536804937
THYM	0.13557424528098	1.14519421794464	0.674121578368124	0.201112454535532	0.840610643644416	0.305538413189073	4.29232378058556
UCEC	-0.0187629307879735	0.981411997235277	0.221293872700008	-0.0847873940613304	0.932430415531856	0.63604182751	1.51431787448317
