	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.423901659055182	1.52791133015184	0.153560666685459	2.76048332040306	0.00577159051003258	1.13080332011557	2.06447309737981
BRCA	-0.316680015106169	0.728563847256046	0.181997181750499	-1.74002702712346	0.0818542723187234	0.509977874965735	1.04083981989257
CESC	-0.23893131792674	0.787468965516575	0.256976839304815	-0.929777635109478	0.352486228283851	0.475876616290464	1.30308435090924
CHOL	-0.435077559868096	0.647214467262603	0.480257976251474	-0.905924693357471	0.364975713229148	0.25249447880892	1.65899297525241
COAD	-0.0497393867562269	0.951477359792813	0.236719306015826	-0.210119688137737	0.833574259562108	0.598277431109923	1.51319290871256
ESCA	-0.702420922250887	0.495384563415992	0.332579091364655	-2.11204173830856	0.0346828694785211	0.258137223006365	0.950679885731944
GBM	0.190313500813198	1.20962875781988	0.189866299357063	1.00235534930448	0.316171999080085	0.833753396660862	1.75495744617642
HNSC	-0.276271254098715	0.758607127557358	0.14538002415629	-1.90033847980181	0.0573887146570991	0.570517825073683	1.00870603632148
KICH	0.669763466064112	1.95377513185465	0.672340813385175	0.996166605879411	0.319169201897788	0.523090749109761	7.29746659131354
KIRC	-0.445460327580263	0.640529354829349	0.16410581278738	-2.71447013371436	0.0066381885655741	0.464356914437936	0.883539884174456
KIRP	0.316704190598736	1.37259648492186	0.318618356014029	0.993992293980676	0.320226619102729	0.735079728132765	2.56301600808065
LIHC	-0.142522054180695	0.867168429392129	0.185157615016023	-0.76973368969114	0.441457881362991	0.603249555647156	1.24655058241642
LUAD	-0.037523844954313	0.963171450667762	0.154322809825107	-0.243151644250377	0.80788792509523	0.71177673284941	1.30335707893632
LUSC	0.321427543077751	1.37909507742111	0.138630188697457	2.31859702491805	0.0204168965823663	1.05097401346966	1.80965771578711
PAAD	0.227260544622145	1.2551568497089	0.210809415724253	1.0780379227435	0.281016832734686	0.830341416326197	1.8973143894731
PCPG	-1.04020423426076	0.353382501774183	1.10150438377461	-0.944348701269993	0.344991486562658	0.0407983697584122	3.06088682708779
PRAD	-0.944639186813512	0.388819836919646	0.793232116506771	-1.19087360074817	0.233703209594759	0.0821387353746119	1.84055506689659
READ	0.0862680159081653	1.0900984528832	0.427240113985885	0.201919279309563	0.839979829794371	0.471843828364967	2.51844904085341
SARC	-0.115144729600406	0.891237146176129	0.221499404054429	-0.519842164325242	0.603173588709872	0.577367913393085	1.37573223641091
STAD	0.234034803780429	1.26368847257856	0.168834756236841	1.38617669132134	0.165692957009212	0.90766924189684	1.75935074365937
THCA	1.4827787100571	4.4051693784531	0.540329800207951	2.74421049789673	0.00606566294237252	1.52768231771768	12.7025868060397
THYM	0.610686155036631	1.84169465340018	0.674482062667874	0.90541496777705	0.365245589130228	0.491018047123532	6.90776890224869
UCEC	0.45688849411911	1.57915278960896	0.212723102396486	2.14780853124046	0.0317289690182439	1.0407679714613	2.39604177041348
