	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.171469308051212	1.18704770936568	0.155545394299069	1.10237470433567	0.270298804036898	0.875120171903825	1.61015859255632
BRCA	-0.295483407780247	0.744171762082091	0.178245330611634	-1.65773435279522	0.0973710967674384	0.524747630281531	1.05534847519607
CESC	-0.282576816654112	0.753838732365979	0.278964828160329	-1.0129478275724	0.31108508177702	0.436338119473119	1.30236806974678
CHOL	0.00302329252381431	1.00302786728177	0.511060587038052	0.00591572232430674	0.995279964021671	0.36838118357093	2.73104313524229
COAD	-0.0167545461647552	0.98338503064134	0.214228304130291	-0.0782088353486909	0.937661933955296	0.64620770201486	1.49649426256332
ESCA	-0.582671910068073	0.558404365290022	0.285488986866643	-2.04096107686371	0.0412546960988131	0.319109797601653	0.977141527832981
GBM	-0.107125557957366	0.898412863024406	0.183962556794393	-0.582322619472483	0.560349392307815	0.626450483940514	1.28844289076222
HNSC	-0.186419638723394	0.829925253124444	0.144889148598483	-1.2866363045586	0.198221083567995	0.624754096836536	1.10247524467837
KICH	-1.60672566813283	0.200543185152686	1.06144671547661	-1.51371297749165	0.130098652056717	0.0250439498901054	1.60587963510797
KIRC	-0.434932270831448	0.647308507260382	0.158670430200383	-2.7411047558274	0.00612329815994646	0.474297460919023	0.883429362577173
KIRP	1.18209432960915	3.26119707732212	0.308140269979014	3.83622150292027	0.000124941730010619	1.78273820240132	5.96577016345341
LIHC	-0.608741061811729	0.544035344999245	0.18515643629794	-3.28771213133628	0.00101005061735524	0.378461469769203	0.782046470381625
LUAD	-0.323023380776252	0.723956927495097	0.157810002419081	-2.04691322365252	0.0406666054860663	0.531354803024859	0.986372250489697
LUSC	0.371511706803333	1.44992481998678	0.141430496553004	2.62681469596694	0.00861882552825509	1.098903678874	1.91307211362492
PAAD	-0.291550574067728	0.747104228547652	0.219058215843869	-1.33092736533345	0.183212911895413	0.486315938224836	1.14774097339111
PCPG	-19.9824628939172	2.09761910712952e-09	10077.0029714467	-0.00198297677896272	0.998417814480546	0	Inf
PRAD	-0.862045525048396	0.422297378367137	0.82065295758912	-1.05043857708242	0.29351651710269	0.0845429351203205	2.10940246540947
READ	0.716703797647532	2.04767253146648	0.403416385393077	1.77658574018801	0.0756364235324032	0.928692321265199	4.51491058998969
SARC	-0.295581462970902	0.744098795755502	0.217703859836183	-1.35772265679313	0.174551704741841	0.485647033459074	1.14009348291725
STAD	0.383489410988578	1.46739601409332	0.166332348429135	2.30556121289877	0.0211351626803752	1.05916832234685	2.03296399330175
THCA	0.269613126352858	1.30945775802791	0.505172771926059	0.533704786433583	0.59354579709438	0.486505383037269	3.5244823178619
THYM	0.242739908921684	1.27473703326887	0.673798948839712	0.36025569547071	0.718655927870025	0.340315631648224	4.77484532848842
UCEC	0.0677681948155721	1.07011722100613	0.225217521526297	0.300901077128936	0.763489928930389	0.68821772107219	1.66393690779979
