	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.420956999333659	1.52341876897811	0.270446195614259	1.55652771664082	0.119582657136277	0.896633751738755	2.58835309419733
BRCA	-0.422576522385456	0.655356102995691	0.230927815162676	-1.82990741971803	0.0672637837753301	0.416784189162844	1.03048923855864
CESC	0.664091706964302	1.94272515599421	0.376739131331487	1.76273620586542	0.0779449912884309	0.928389957151877	4.06529713366482
CHOL	-0.723287680250916	0.485154597914434	1.03852726167411	-0.696455169684208	0.486143823101989	0.0633700637218333	3.71429299662233
COAD	-0.254456962247397	0.775337421152837	0.226571570158307	-1.1230754241126	0.261405462662164	0.497316278677291	1.20878431375462
ESCA	0.104145744316822	1.10976218466114	0.289966351284415	0.359164930191056	0.71947171028404	0.628651731941827	1.95906897878049
GBM	0.600286316146458	1.82264057711681	0.349863491778005	1.71577295217573	0.086203606492937	0.918114170605176	3.6183067201359
HNSC	-0.358174732305209	0.698950935027831	0.203257303472249	-1.76217398433661	0.078039906183202	0.469281852274084	1.0410213120514
KICH	1.0586620461256	2.88251174034416	0.707532523675131	1.49627333119134	0.134582441818593	0.720308117047684	11.5351663219864
KIRC	0.0777467731948385	1.08084892409317	0.224004335225371	0.347077091684933	0.728533403204963	0.696774356292075	1.67663230738024
KIRP	-0.141395820646192	0.868145613722966	0.391402111257113	-0.361254619174265	0.717909114830284	0.40311642531971	1.86962564482131
LIHC	0.0218129707398394	1.02205261284963	0.274969641126281	0.0793286511576081	0.936771217778277	0.596236652538643	1.75197472175706
LUAD	-0.701527178298174	0.495827508283976	0.269906464945427	-2.59914922171285	0.00934551381645623	0.292136497488436	0.841541266102253
LUSC	0.20462899473834	1.2270697311761	0.260314362772526	0.78608415055897	0.431818189057788	0.736697601558494	2.04385099392647
PAAD	-0.671496897675941	0.510943175413131	0.373210154494291	-1.79924605370354	0.0719797673904903	0.245864339859095	1.06181697049222
PCPG	0.709352485267077	2.0326746456493	1.11890865119398	0.633968183649427	0.526101586120212	0.226804203564926	18.2173264433467
PRAD	-0.948598165675171	0.387283550473653	1.05885198825674	-0.895874188456605	0.37031996113809	0.048610781670045	3.08549962198828
READ	0.60876577541196	1.83816129429422	0.395591009414184	1.53887667041134	0.123834407631714	0.84655648185517	3.99127171814563
SARC	0.749784051792487	2.11654290361193	0.309336146271795	2.42384881569481	0.0153569972074539	1.15430259295851	3.88091813200233
STAD	0.00903294534272681	1.00907386551059	0.182025122080695	0.0496247179481212	0.960421448821308	0.706289733545245	1.44166057879029
THCA	-0.0741307978117541	0.928550233559437	0.64432635150844	-0.115051631270715	0.908404197880657	0.262635736003408	3.2828949683835
THYM	0.473083061898067	1.60493468636129	0.714652223657939	0.661976617768847	0.507986207005927	0.395497996335423	6.51284044761899
UCEC	-0.947364110540204	0.387761774744672	0.370551651777353	-2.55663173000624	0.0105691044903148	0.187564591961108	0.801639543908771
