	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0351975961055662	0.965414635237214	0.159030530421088	-0.22132603099775	0.824838582718284	0.706881873642484	1.31850235899752
BRCA	-0.241137620933465	0.785733485571557	0.174616964287401	-1.38095185606696	0.167293764053314	0.558008779961555	1.10639318325953
CESC	0.0241379210339238	1.02443159881288	0.253916245106466	0.095062531441432	0.924265158831914	0.622800663007013	1.68506580513147
CHOL	-0.738526872157914	0.477817283261938	0.569463861306999	-1.29688101798574	0.19467212868427	0.156506845175678	1.45878192054503
COAD	0.255887668973923	1.29160763217987	0.2088960693404	1.22495205286486	0.220593286376509	0.857665510466961	1.94510593599245
ESCA	-0.285187504142578	0.751873261750178	0.275823949469697	-1.03394757667303	0.30116067147404	0.43788782392101	1.29100050481611
GBM	-0.312172615932531	0.731855187458751	0.18666196884289	-1.67239538866796	0.0944463808225519	0.507619386118725	1.0551449177416
HNSC	-0.224431506986453	0.798970298709356	0.143378036277729	-1.56531302013176	0.11750953171031	0.603235691207661	1.0582157977784
KICH	-1.40716577467249	0.24483622173828	1.06129676245676	-1.32589283643445	0.184875196149938	0.0305842775997287	1.95998663952775
KIRC	-0.112488691385686	0.893607452513405	0.152449520702892	-0.737875008507994	0.460590406969268	0.662798496775269	1.20479192857652
KIRP	0.327884732461603	1.38802896838555	0.30704644921764	1.06786687583282	0.285580566147621	0.760396516449801	2.53371020960569
LIHC	-0.376954011852015	0.685947618631268	0.184990307377071	-2.03769601335739	0.0415803431354803	0.477338998516274	0.985723221795098
LUAD	-0.420099465931317	0.656981469291334	0.163286189543303	-2.57278014207018	0.010088527242639	0.477049740091453	0.904779134581346
LUSC	0.0130555505786424	1.01314114637356	0.144026361692114	0.0906469511918336	0.927773123816112	0.763966811532061	1.34358582988267
PAAD	-0.249699822219739	0.779034596852828	0.219306476988364	-1.13858845232824	0.254874847088926	0.506853831020149	1.19737657279249
PCPG	-1.52270598676731	0.218120855502555	1.17401647328432	-1.297005639544	0.194629246379703	0.0218460316526811	2.17781921959851
PRAD	-0.435470613071292	0.646960127530889	0.818078594568781	-0.532309017693873	0.594511987595391	0.130175050115292	3.2153427730128
READ	0.199827672232183	1.22119229468412	0.419530298364158	0.47631285037423	0.633851511787562	0.536635276173341	2.77900221399936
SARC	-0.22836150038099	0.795836512625704	0.207613660011771	-1.09993485191698	0.271360508213285	0.529788824220815	1.19548719390174
STAD	0.149081334590047	1.16076739591005	0.168222252621545	0.886216491972917	0.375500878347281	0.834745641123842	1.61412157312231
THCA	0.193015218220415	1.21290125157726	0.504078814370161	0.382906824722607	0.701788850927286	0.451598800277366	3.25760264459102
THYM	-2.401630911269	0.0905701209405815	1.07102798981567	-2.24236054902948	0.0249380793629635	0.0111000329994811	0.739002019865623
UCEC	-0.272361236794706	0.761579101000495	0.232397162309504	-1.17196455450682	0.2412112873064	0.48294557877052	1.20096912069739
