	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.177301515381592	1.19399104552453	0.160549707341209	1.1043403212488	0.269445538149419	0.871647544615345	1.63554021989688
BRCA	-0.303967280934429	0.737885008963621	0.179619346974945	-1.69228585925562	0.0905914826885057	0.518915235478706	1.0492547707738
CESC	-0.514615789667185	0.597730204626997	0.268418970862935	-1.91721094829012	0.055211137729479	0.353204769972245	1.0115418247367
CHOL	-0.261632373784249	0.769793968138909	0.514279652745976	-0.508735611816008	0.610937557046683	0.280943423114968	2.10926010231088
COAD	0.150765937168701	1.16272447564638	0.214250053310061	0.703691480302757	0.48162492718389	0.764023714019486	1.76948461344835
ESCA	-0.147686919270674	0.862701167776468	0.271356337240833	-0.544254542836047	0.58626632323508	0.506852336540457	1.46838290213441
GBM	-0.177210047563372	0.837603829400731	0.196518282240352	-0.901748404998956	0.367190533282237	0.569851884851658	1.23116233125982
HNSC	-0.268145028312986	0.764796855861625	0.153185761573938	-1.75045660613543	0.0800395556945392	0.566440290971825	1.03261409906472
KICH	-1.23337008131055	0.291309185913448	1.06111966150373	-1.16232893052111	0.245101879385756	0.0364021878220174	2.33120718492168
KIRC	0.247875814233607	1.28130080299124	0.15781561927314	1.57066718348451	0.116259975614431	0.940412080998225	1.74575782353128
KIRP	-0.602948576494432	0.547195806373418	0.325308384166384	-1.85346768125731	0.063815354285618	0.289227618579146	1.03525123908842
LIHC	0.268591230803554	1.30812031245421	0.184483649142961	1.45590805500283	0.145418038640474	0.911202541883413	1.87793456800326
LUAD	0.149274862935528	1.16099205904231	0.156441761337823	0.954188073945179	0.339988450357882	0.854408933492128	1.57758481720244
LUSC	-0.171401684554399	0.842483093049172	0.145365994455826	-1.17910440606166	0.2383566043545	0.6336149786187	1.12020357160911
PAAD	-0.88836780584564	0.411326569974492	0.282817059190607	-3.14113939374116	0.00168291912680696	0.236293865428343	0.716013286507803
PCPG	0.134864261650887	1.14438143736122	1.11875865584672	0.120548128004262	0.90404895694823	0.127726705467641	10.2532110992928
PRAD	-0.890595363042366	0.410411336259515	0.793049582770898	-1.12300085945527	0.261437129434693	0.0867309931559406	1.9420677522679
READ	1.09714333476634	2.99559637344874	0.397271929226615	2.76169357573839	0.00575024180721594	1.37507003093881	6.5259204482063
SARC	-0.37345343882189	0.688353036078514	0.235417482323014	-1.58634539430457	0.11266098012696	0.433933828454095	1.09194045545272
STAD	0.128819587434205	1.1374848890854	0.175561261131087	0.733758612829846	0.46309586879528	0.806320347904866	1.60466231102764
THCA	0.746182893861427	2.1089346059112	0.50052817913541	1.49079097834282	0.136016381102063	0.790701849776708	5.62488272066878
THYM	-0.236017967082411	0.789766484005823	0.827009950901749	-0.285387094587029	0.775347593645664	0.156151641074383	3.99439349447378
UCEC	0.440411089656506	1.55334565160608	0.221899451869657	1.98473266132808	0.0471742229453017	1.00551128737623	2.39965751121468
