	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0875968939880557	0.916130099851268	0.161423683970027	-0.542652055966711	0.587369390303146	0.667656472251221	1.25707514977506
BRCA	-0.295366926996767	0.744258448840554	0.183646675549184	-1.60834344598666	0.10775998034895	0.519282204505748	1.06670445061326
CESC	-0.650821935382883	0.52161686515857	0.284550342386381	-2.28719434995146	0.0221844816653553	0.298635844789898	0.911090074298599
CHOL	0.178065524060169	1.19490361360603	0.536877471903485	0.33166883204997	0.740139338102795	0.417197734974758	3.42234515222173
COAD	0.0768454618416294	1.07987518157529	0.223343895071635	0.344067886059667	0.73079523332822	0.697048331346112	1.67295488037435
ESCA	-0.258707833981856	0.772048556448052	0.270701704193014	-0.955693407077312	0.339227154366326	0.454174667500217	1.31240030800097
GBM	0.0840664811884899	1.0877012030739	0.186515990871427	0.450719966667311	0.652191389916261	0.754652316715961	1.56773375097675
HNSC	-0.159400554418939	0.852654755928078	0.144070162748843	-1.10640920630333	0.268549442532247	0.642895630339915	1.13085250310751
KICH	-1.68502959301581	0.185438944177165	1.06103260443584	-1.58810350028005	0.112262936952377	0.0231765268980336	1.48372541618646
KIRC	0.0795856905809087	1.08283834460076	0.153493793125753	0.518494519942619	0.604113282581648	0.801510973521042	1.46291057674075
KIRP	0.132893898692037	1.14212881054126	0.310549957783008	0.427930821954563	0.668701486320969	0.621404628241781	2.09920905088727
LIHC	-0.0902538443629681	0.913699218434689	0.193109208727041	-0.467372037604595	0.640233724842684	0.625789680140173	1.33406843906592
LUAD	-0.592800591562303	0.552777012271387	0.165198287476654	-3.58841850370924	0.000332689952997849	0.399882995735801	0.764129579287146
LUSC	0.0585141730145878	1.06026001266873	0.14483596549072	0.404003058331094	0.686210470212878	0.7982295206592	1.40830583857128
PAAD	0.169265188791962	1.18443419595351	0.210057337582737	0.805804694755268	0.420355470645564	0.784711121074874	1.78777173773504
PCPG	-1.36330003846851	0.255815182530708	1.09586129360907	-1.24404433884025	0.213483244842103	0.0298625913894372	2.19141757524656
PRAD	0.2994621531823	1.34913298552004	0.647339391355657	0.462604558259875	0.643647840743355	0.379348587890912	4.79811938338265
READ	-0.26523083670346	0.767028871122424	0.477652529037097	-0.555279875180689	0.578703241933322	0.300769048119237	1.95609652261193
SARC	-0.447554635922911	0.63918929259938	0.246320089642822	-1.81696359631847	0.0692226876478617	0.394422290525346	1.03585157732722
STAD	-0.00342864579606217	0.996577225298051	0.173192990102226	-0.0197966776486649	0.984205568217546	0.709722898612783	1.39937173779231
THCA	-0.430538831149536	0.650158674577146	0.577518514733338	-0.745497884770555	0.45597078939167	0.209620962327416	2.01652686560836
THYM	1.45358629160669	4.27843073477205	0.71554265196597	2.0314460467352	0.0422097673908822	1.05247913731676	17.3922398109569
UCEC	-0.752060335596956	0.471394321023325	0.258320334134353	-2.91134779659199	0.00359873190524976	0.284119917002277	0.782108513326295
