	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0601967887339359	0.941579223168118	0.160552621617431	-0.374934947355606	0.707708847559011	0.687375783213786	1.28979148691675
BRCA	-0.0154906446090055	0.984628718295288	0.173758914200704	-0.0891502152868698	0.928962530206213	0.700436295763161	1.38412831938629
CESC	-0.197638360144084	0.820666585225158	0.251878078982832	-0.784658835505711	0.432653624086923	0.50091927258491	1.34451533603343
CHOL	-0.164584609612291	0.848245984144202	0.57305066783505	-0.287207779085367	0.773953230286483	0.275892693677982	2.60797500660376
COAD	0.489208091495129	1.6310240865514	0.207806973186377	2.35414665828547	0.0185652846924381	1.08536236513078	2.45101512303708
ESCA	0.115731799411724	1.12269472436553	0.265692648115708	0.435585253233364	0.663137672056016	0.666965991347026	1.88981666302438
GBM	0.365338243023443	1.44100133437535	0.189777176679743	1.92509051623192	0.0542180352188092	0.993403663618608	2.09027298943881
HNSC	-0.163641518719764	0.849046334548739	0.146047199422403	-1.12047009026495	0.262513491355522	0.637699079181186	1.13043863750951
KICH	-0.999946665406006	0.367899062395316	0.802481507111601	-1.24606817296656	0.212739368157413	0.0763229562542933	1.77338151919055
KIRC	0.151919752585765	1.16406681933167	0.15323625418809	0.991408680606952	0.321486063244281	0.862070877906913	1.57185632248591
KIRP	0.568538052056586	1.76568382578529	0.303325044837597	1.87435248665664	0.0608818576845552	0.974366160252859	3.19965891655218
LIHC	0.614229569225828	1.84823211599582	0.182399031162025	3.36750456026385	0.000758517719525213	1.29270127075768	2.64249910777625
LUAD	0.170618447094704	1.18603812638455	0.160903934409858	1.06037461246971	0.288974207242877	0.865240765363457	1.62577457460279
LUSC	-0.0746771501748956	0.928043056506344	0.15117654470703	-0.493973124730527	0.621325159827038	0.69005930686386	1.2481012952986
PAAD	-0.258173579172177	0.77246113730448	0.253242861185354	-1.01947031384713	0.307979739630848	0.470236054643786	1.26892908945006
PCPG	-0.388578634007296	0.678019904361519	0.878203947602973	-0.442469696324991	0.658149354284043	0.121258973653462	3.79115027003429
PRAD	-0.545573172680073	0.579509529099494	0.794193335112055	-0.686952595243193	0.492112601662486	0.122191779391666	2.74839515382344
READ	0.69051979697358	1.99475212993001	0.404258742848408	1.70811345255807	0.0876152932351967	0.903198633190231	4.40549388987202
SARC	0.188049086304442	1.20689275580089	0.207663198187398	0.905548445491742	0.36517490687041	0.803351198145627	1.81314240567127
STAD	0.254275461679244	1.28952697061296	0.181311049560802	1.40242672630922	0.160787857065235	0.903853792654921	1.83976636647592
THCA	-0.244386988546983	0.78318449218174	0.577813368880273	-0.422951426375913	0.672330700844296	0.252364607666641	2.43052286319089
THYM	0.844711665469297	2.3273066749406	0.674764395707852	1.25186164362327	0.210620283364748	0.620144819631339	8.73401855141345
UCEC	-0.241757316024929	0.785246721225664	0.253604047655668	-0.953286504138041	0.340444927538054	0.477681008373886	1.2908455692947
