	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.129827102225012	0.878247264792286	0.156674777249988	-0.828640732757268	0.407307731796671	0.646033432837153	1.19392932147145
BRCA	0.311054677554332	1.3648638465631	0.166224918638466	1.87128789174423	0.0613051879196425	0.985367928276634	1.89051547771915
CESC	-0.12483245889083	0.882644769481039	0.249684870199443	-0.499960044800139	0.61710321141398	0.541070436384516	1.43985281158217
CHOL	-0.238078060306814	0.788141166151231	0.50149738255498	-0.474734402588258	0.634976293695845	0.294936597799321	2.10610179413839
COAD	0.326530801681234	1.38615094488501	0.203042981577084	1.60818561245009	0.107794533272434	0.931065053273741	2.06367367698925
ESCA	0.0491594242612164	1.05038779469052	0.257753531431441	0.190722602279039	0.848742929673253	0.633795954779907	1.74080397786374
GBM	0.248184466718809	1.28169634070708	0.182414183576437	1.36055465563516	0.173654469543672	0.896424896686004	1.83255230399667
HNSC	-0.216730349799096	0.805147048099293	0.138908038666901	-1.560243394688	0.118702374392456	0.613248462641957	1.05709481320215
KICH	0.0240722422645168	1.02436431761563	0.672408443562466	0.0358000297214896	0.971441809369237	0.274220133006352	3.82656898200772
KIRC	-0.318832778487513	0.726997108698473	0.160784797576438	-1.98297838659739	0.0473698438145547	0.530484154164103	0.996306471941181
KIRP	0.00284948853599014	1.00285355218731	0.306913044284052	0.0092843513466078	0.99259226582706	0.549531586438237	1.83013182855092
LIHC	-0.449518208448635	0.637935429494135	0.184526347764095	-2.43606516844584	0.0148480092399713	0.444332019533392	0.915895308718084
LUAD	0.0120830538076051	1.01215634881394	0.150797676430552	0.0801275861380383	0.936135782716627	0.753161980365506	1.36021267821724
LUSC	0.236256728966163	1.26649941551871	0.139275600388568	1.69632533126424	0.0898242858017617	0.963947514184403	1.66401255867794
PAAD	-0.601225604084839	0.548139422329135	0.233225793867886	-2.57786925757197	0.00994116034297211	0.347031487758714	0.865791252118947
PCPG	0.0733655864858229	1.07612388135771	0.915585824134777	0.0801296662223368	0.936134128368964	0.178860402165434	6.47456113263837
PRAD	-0.47363727400912	0.622733093084341	0.67012300108982	-0.706791549072102	0.479696027084127	0.167452722488676	2.31585667559758
READ	-0.0100641374934594	0.989986336470731	0.403886125303716	-0.0249182550796746	0.980120166306922	0.448580827224128	2.18483021769689
SARC	-0.164437798355494	0.848370525345008	0.213895280746589	-0.768777122064283	0.442025632498414	0.55785018122377	1.29018968264072
STAD	-0.0796064230033943	0.923479735251822	0.168281912054204	-0.473053948767547	0.636174690419156	0.664026706369074	1.28430801538692
THCA	1.73148937706724	5.64906122828433	0.583092973374566	2.9694910694027	0.00298293482747721	1.80155134061484	17.7135627730788
THYM	-0.117082510515589	0.889511796058521	0.708926773825856	-0.165154589780453	0.868822306464199	0.22167266773094	3.56936758792307
UCEC	0.0703038702044516	1.07283413405569	0.213980296165406	0.328553009152334	0.742493571061645	0.705329786214641	1.63182259092171
