	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.2460964736254	0.781846793692278	0.169939772236312	-1.44813936365166	0.147578078630131	0.560361982503792	1.09087416329633
BRCA	-0.269521691725939	0.763744712401692	0.199372746365496	-1.35184821716727	0.176423875762624	0.516704004227557	1.12889774599977
CESC	-0.513557724141382	0.598362977048554	0.284381462621109	-1.80587623190339	0.0709376744726215	0.342687903366828	1.04479396204175
CHOL	-0.401141464232262	0.669555336206411	0.754058223376686	-0.531976778180263	0.59474207902443	0.152732321223904	2.93522906382907
COAD	-0.375912514219084	0.686662403611208	0.243906370666684	-1.54121646429972	0.123264111720822	0.425725623578515	1.10753318667972
ESCA	-0.172227002234084	0.841788063707096	0.284731814779094	-0.60487445833092	0.545262415344071	0.48176872465378	1.47084505061838
GBM	0.0321574877151984	1.03268012693305	0.20164967022376	0.159472057055759	0.873296971808083	0.695538715529243	1.53324066763272
HNSC	-0.397032916823792	0.672311894896245	0.162533754054271	-2.44277208222988	0.0145749386063324	0.488901998800984	0.924527379981066
KICH	-0.351455028772564	0.703663493861481	0.802045921569147	-0.438198137190158	0.661242658833455	0.146104063277228	3.38897017295015
KIRC	0.439865394058235	1.55249822895984	0.161843197386453	2.71784913522138	0.00657077908737566	1.13049835320421	2.13202499949864
KIRP	0.472071595808355	1.60331217004828	0.330644846124877	1.42773008967472	0.153369561930446	0.838634425215846	3.06523299942439
LIHC	-0.062786888065763	0.93914359507232	0.248945153461087	-0.252211730948911	0.800877411130442	0.576540077538648	1.52979944764766
LUAD	-0.371606361981918	0.689625651977041	0.176230229821733	-2.10864141956701	0.0349755448287315	0.488209205392438	0.974138821250758
LUSC	0.100779639638708	1.10603288910065	0.149655033102656	0.673412965466909	0.500684602365739	0.824862283768022	1.48304605004388
PAAD	-0.202198023132034	0.816933140264816	0.238956227096581	-0.84617180974451	0.39745690565551	0.511430477280819	1.30492762029214
PCPG	-0.146448011351605	0.863770637435438	1.11805221235548	-0.130984948406902	0.895787214244303	0.0965407499590474	7.72833973645448
PRAD	-0.343645289233322	0.709180437376996	0.792048119667033	-0.433869206555008	0.66438342219304	0.150163425023561	3.34926359517517
READ	0.403871068811057	1.4976108457631	0.443342289258953	0.910968970467779	0.362311723241976	0.628094999440555	3.57085830542351
SARC	0.047481549054097	1.04862685278545	0.251676949188892	0.188660698594453	0.850358756334492	0.640314250267073	1.71731032992641
STAD	-0.0552063421657013	0.946289868306157	0.175094101114906	-0.315295271594969	0.752537474779521	0.671403840539749	1.33371967926041
THCA	0.0215406372502549	1.02177431159213	0.579299393676893	0.0371839457892982	0.970338339164361	0.32828757206193	3.18020794169026
THYM	-0.336321554774342	0.714393352285679	0.804678981490026	-0.417957424650977	0.675978245948723	0.147568415386443	3.45844915697898
UCEC	-0.352653642351379	0.702820578508632	0.276659116686556	-1.27468650437036	0.202420225476622	0.408650281138345	1.20875180655506
