	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0436307992691247	0.957307330802391	0.200623385231791	-0.217476139278158	0.827837300120204	0.646071300641584	1.41847707009726
BRCA	-0.0532905473217227	0.948104503235871	0.178570639369416	-0.298428383915222	0.765376228229228	0.66812328159858	1.34541359927675
CESC	0.237350793478687	1.2678858058463	0.29106095716089	0.81546764565708	0.414804677142064	0.716685477024244	2.2430124066992
CHOL	-0.459102468482365	0.631850496820743	0.754310685045736	-0.60863842655832	0.542764128175097	0.144060166417514	2.77130771302569
COAD	-0.030618369598353	0.969845625035414	0.261144013099499	-0.11724706699168	0.906664270031189	0.581321551645452	1.61803830210307
ESCA	-0.22451365215659	0.798904669853818	0.290430787184849	-0.773036682277404	0.439500671709825	0.452147178934236	1.41159494352849
GBM	0.00168571301634639	1.00168713462923	0.186341904552033	0.00904634424768202	0.99278216004014	0.695212511150568	1.44326677035939
HNSC	-0.205743647641685	0.814041731054729	0.170844908188622	-1.2042714636513	0.228484672465921	0.582402485377632	1.13781097528955
KICH	0.408794136806511	1.50500186410269	1.06579819829248	0.383556791014887	0.701306970586996	0.186349386242834	12.1547521922127
KIRC	-0.999793207598775	0.367955523710818	0.187634925595227	-5.32839610977098	9.9083846416389e-08	0.254730054587494	0.531508807033205
KIRP	-0.594320554818328	0.551937449737697	0.360100774553096	-1.65042842675335	0.0988553409750664	0.272503150426536	1.11791349181146
LIHC	-0.259829071586057	0.771183391692561	0.20058982607952	-1.29532527478763	0.195208043747412	0.520493485754268	1.1426153062427
LUAD	-0.306675459496691	0.735889388069489	0.190299662432412	-1.611539692592	0.107062143132544	0.506791326902142	1.06855260287012
LUSC	0.46283765502906	1.5885754242497	0.15047309890863	3.07588305408733	0.00209880146022792	1.18283701220056	2.13349079585804
PAAD	-1.13930055584756	0.320042795610467	0.516497705509936	-2.20581920053784	0.0273966613682754	0.116295901975714	0.880748068350275
PCPG	-19.5275716475327	3.30585186150837e-09	11584.8358571259	-0.00168561487520095	0.998655074552506	0	Inf
PRAD	-18.3462681233009	1.07725120990067e-08	7102.0438890392	-0.00258323778477564	0.997938876746998	0	Inf
READ	0.874754959097098	2.39828754341352	0.400803414813876	2.18250375811622	0.0290723742016539	1.0932935011412	5.26096893001619
SARC	-0.549556081714825	0.577205985807214	0.229285666386928	-2.39681830257732	0.0165381223238322	0.368266753412146	0.904688644752066
STAD	0.210907077736543	1.23479760954148	0.179700895246262	1.17365624387968	0.240532743179289	0.868228626051179	1.75613322433748
THCA	-0.901466623733697	0.40597381207719	0.578049017876147	-1.55949858205078	0.118878419916932	0.13075605333786	1.26047499817558
THYM	0.748329317004131	2.11346613350385	0.679985099917902	1.10050840392603	0.271110670026733	0.557430755435521	8.01308333620352
UCEC	0.344845040104211	1.41177113480873	0.218833582861604	1.57583235440741	0.115064443866293	0.919375263597759	2.16788270904702
