	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0132960830761699	1.01338486905428	0.22363274960706	0.0594549908255037	0.952589714139515	0.653759290955528	1.57083640268757
BRCA	-0.343743714275132	0.709110639697772	0.236548175138785	-1.45316578355954	0.146177729830672	0.446029753119974	1.12736402855468
CESC	-0.193053131032537	0.824438169724211	0.375670765217862	-0.513889152169136	0.607329492183067	0.39480855561347	1.72158958065654
CHOL	0.188599207391803	1.20755687561244	0.508982706073599	0.370541484300514	0.710979072699957	0.445308238744421	3.27457136645477
COAD	0.314759694743763	1.36993007000292	0.394517390222334	0.797834778756842	0.424966375922537	0.632243811608582	2.96833019515587
ESCA	-0.266143422050863	0.766329211111896	0.402436676503292	-0.661329937329125	0.508400746548974	0.348225571908749	1.68643691669281
GBM	0.179652269494939	1.19680112649674	0.234233891019368	0.766978120514953	0.443094524273545	0.75620882238248	1.89409709856495
HNSC	0.0253235354347041	1.02564689996597	0.197146111168495	0.128450595776961	0.897792393108115	0.696926209779833	1.50941598787355
KICH	-18.1425621917401	1.32064275304891e-08	9662.52141244217	-0.00187762193917401	0.998501875323972	0	Inf
KIRC	0.33630832811279	1.39977054689338	0.194604278802219	1.7281651265982	0.0839586240207516	0.955893236396203	2.04976613427785
KIRP	-0.0397486285668371	0.961030984528142	0.392389994614338	-0.10129878211065	0.919313282957364	0.445383804772805	2.07367341004745
LIHC	0.414413220416888	1.51348239951587	0.38402849682103	1.07912101275656	0.280533785144452	0.713003605064353	3.21264711338671
LUAD	-0.0913471911392727	0.912700774262022	0.232282186153819	-0.393259563515482	0.694127780827205	0.578907883309057	1.43895553568369
LUSC	0.0904877974270898	1.09470814930414	0.203566020308231	0.44451327038804	0.656671536652462	0.734552160544281	1.63145110248525
PAAD	-0.417830975896981	0.658473516914902	0.370888097972386	-1.12656884429894	0.259924817937281	0.318300844921045	1.36219359576576
PCPG	-0.283177513055008	0.753386040131501	1.09576960302068	-0.25842796904968	0.796076633331774	0.0879623435465341	6.45265351718096
PRAD	-0.673755933662317	0.509790239145449	1.06342005243362	-0.633574599350877	0.526358481990198	0.0634171507937927	4.09804106105334
READ	0.0671291478994058	1.06943358435732	0.614748015730411	0.109197827697982	0.913045583253334	0.320537878967248	3.56802820008741
SARC	0.00706081724448504	1.00708580358795	0.298650860650504	0.0236423803671806	0.981137866943838	0.560859913284389	1.80833358164093
STAD	0.232436487275634	1.26167031169548	0.224011821304133	1.03760813122475	0.299452530790385	0.813329782955081	1.95715441481833
THCA	-0.00507966469762028	0.994933214981721	0.641951959773441	-0.00791284241801054	0.993686531086956	0.282724490972834	3.50126053412535
THYM	-0.111651720439211	0.894355689071163	1.07392560912401	-0.103965972587509	0.917196352135525	0.108989118021983	7.33900882116157
UCEC	0.104592013273477	1.11025754759775	0.23552377579753	0.444082610850254	0.656982858156593	0.699754230557144	1.76157823442714
