	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.226972886808424	0.796942389648902	0.299763793335104	-0.757172453294561	0.448946551306703	0.44286108959539	1.43412276973704
BRCA	-0.227591650657458	0.796449423039111	0.205754808225377	-1.1061304113397	0.268670077454995	0.532132018992509	1.19205697236622
CESC	1.24538985017063	3.47428898750904	0.429745934935425	2.89796772680996	0.003755892364208	1.49646146095829	8.06615090574859
CHOL	-0.0945066018245573	0.909821728122776	0.5369265404388	-0.1760140255822	0.860282923652528	0.317631528503873	2.60608756587657
COAD	0.293491313329322	1.34110152965224	0.222163117440951	1.32106227491757	0.186480600529774	0.867672972116603	2.07284699493197
ESCA	0.00678840049292386	1.00681149390976	0.333891440254725	0.0203311605944285	0.983779198360726	0.523286168553428	1.9371224488333
GBM	-0.213006936999296	0.808150531057378	0.18879207763922	-1.12826205242759	0.259209264563615	0.558202985340433	1.17001753483997
HNSC	0.208090882176268	1.23132506996597	0.175887776151203	1.18308893733116	0.236773901716207	0.872281728247163	1.73815566557079
KICH	1.88261775043097	6.57068277630506	0.709199150264284	2.65456853653788	0.00794099063030784	1.63658697097357	26.3804325175269
KIRC	0.597270923175489	1.81715287747555	0.168973504222983	3.53470164403593	0.000408235821140869	1.30485110771033	2.53059108476514
KIRP	0.684364987849964	1.98251251620255	0.413676659014933	1.65434759959531	0.0980569067568467	0.881239037134447	4.46003378343319
LIHC	0.539173534124059	1.71458922696464	0.202781345517235	2.65889119508891	0.00783982769161321	1.1522648036906	2.55133733826394
LUAD	0.368140620908389	1.44504522825987	0.23238846502546	1.58416047400656	0.113157205470729	0.916372441919233	2.27871945531583
LUSC	0.092550793137801	1.09696885863567	0.28745902747661	0.321961685984385	0.74748172041614	0.624465904273234	1.9269917998436
PAAD	0.537638813638113	1.71195982996386	0.220466292471279	2.4386440557944	0.0147424814227493	1.11130257752984	2.63727135945673
PCPG	0.390234366699383	1.47732698956314	1.11821068458975	0.348981074923775	0.727103517482966	0.165064610618224	13.2220651411438
PRAD	0.6008374971714	1.82364545892866	0.651901886876418	0.921668596558767	0.356701465723257	0.508206853395601	6.54395496174534
READ	0.0158349136991378	1.01596095032598	0.443242207904969	0.0357251936226543	0.971501481765436	0.426175583315724	2.42195163917358
SARC	-0.0531053221237278	0.948280132345169	0.250791845200919	-0.211750593729166	0.832301614879181	0.580045745886468	1.55028325917001
STAD	0.30261501541113	1.35339332855991	0.177318753391302	1.70661596488516	0.0878934558255675	0.956070757049639	1.91583466839094
THCA	0.171639782965553	1.18725008847204	0.505821418258148	0.339328816001136	0.73436203700303	0.440540904163787	3.19961837653291
THYM	0.102037059524866	1.10742451159369	0.802894350801497	0.127086533144748	0.898871910027791	0.229556302806484	5.34243248338243
UCEC	0.199317256535775	1.22056913801658	0.248892371051676	0.800817058769517	0.423237561853453	0.749384686819629	1.98801636446719
