	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0781384374244868	1.0812723368668	0.159087139627325	0.491167529993515	0.623307962190633	0.791625678816336	1.4768973490369
BRCA	-0.153060646601035	0.858077680738592	0.170761598906879	-0.896341142158684	0.370070591998895	0.614008055999326	1.19916554675063
CESC	-0.200862962275184	0.818024524092856	0.25695924005802	-0.781691922150107	0.434395650092221	0.494358746293219	1.35360024887765
CHOL	-0.693133551651936	0.500006814500441	0.754705259932741	-0.91841621948376	0.358401002449757	0.11391204310891	2.19473558478667
COAD	0.0821665966306495	1.08563665817413	0.212431057129095	0.386791826680581	0.698910328553954	0.715917297813303	1.64628925320205
ESCA	0.196191971663877	1.21676046644632	0.266469062740645	0.736265477297945	0.461569151410924	0.721749037285138	2.05127538275022
GBM	-0.0494978581531578	0.951707196545333	0.189843911823074	-0.260729236338575	0.794301318313188	0.656006167759014	1.38069828070413
HNSC	-0.0727449545852666	0.929837950692007	0.141864653218304	-0.512777164254759	0.608107205329757	0.704128391211367	1.22789909530515
KICH	-0.144462625108664	0.865487259290891	0.707941584184407	-0.204060092436996	0.838306539739744	0.216102459707627	3.46626409069244
KIRC	0.130413878218741	1.13929981713873	0.155026727511487	0.841234800683498	0.400216408171594	0.840773544706863	1.5438212602002
KIRP	0.396610977170167	1.48677742717114	0.318724114941333	1.24437078519512	0.213363130030024	0.796063112580605	2.77679882789671
LIHC	0.338877437237898	1.40337133360493	0.227996808450917	1.48632535490448	0.137193083304618	0.897638281928365	2.19403643943658
LUAD	-0.46425002052884	0.628606370321146	0.157851479387553	-2.94105587309083	0.00327095527839289	0.461333885290312	0.85652925442419
LUSC	0.134944063318049	1.14447276455177	0.143126648003284	0.942829760918827	0.34576798649203	0.864521579799434	1.51507832702643
PAAD	-0.254682382768064	0.775162663885345	0.217766700136172	-1.16951941049209	0.242194425453801	0.505859016483867	1.18783521871056
PCPG	-0.20571514131541	0.814064936724669	0.876919679476691	-0.234588350712088	0.814528252058492	0.145956575379201	4.54040333217474
PRAD	-0.495368153603669	0.609346532874756	0.704370885341183	-0.70327744078139	0.481882866637679	0.153215520106131	2.42340460593867
READ	0.619118778127107	1.8572906353609	0.395977283815296	1.5635209478731	0.11793011246556	0.854719070247777	4.03586233684864
SARC	-0.643789973008419	0.525297782195332	0.228269886162284	-2.8203018095463	0.00479785006531064	0.335816389353044	0.821692355489062
STAD	0.243021791582232	1.27509641018398	0.180586120719854	1.34573903361729	0.178386693257555	0.8950098983706	1.81659538986557
THCA	-0.209498222836152	0.810991080695841	0.516738516790937	-0.405424051098771	0.685165834937396	0.294555716046638	2.23287648868465
THYM	1.4617302757173	4.31341647498322	0.709155914316045	2.06122553053384	0.0392815289368488	1.07445141987356	17.3163358924559
UCEC	0.00420103222016161	1.00420986892611	0.225769520534232	0.0186076145718024	0.985154128338714	0.645132796821061	1.56314710059348
