	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.118538051182294	0.888218017268082	0.163169835138878	-0.726470374143623	0.467550462857184	0.645103150692936	1.22295363982057
BRCA	-0.471464095809789	0.624087874623901	0.180354527604255	-2.61409625847766	0.00894638273762339	0.438255820357107	0.888717632854735
CESC	-0.524069264684987	0.592106202137536	0.278300286691491	-1.88310716785549	0.0596858460357709	0.343170523090642	1.0216196643356
CHOL	-0.0804842226550098	0.922669460743314	0.503212327050955	-0.159940880476205	0.872927645057314	0.344120889543613	2.47389495859263
COAD	0.11893414250163	1.12629574082589	0.215273809684053	0.552478458369757	0.580620589294567	0.738602958298222	1.71748851199477
ESCA	-0.325623011644057	0.722077350880639	0.279297602692318	-1.1658639691325	0.243669448699468	0.417681435146962	1.24830949326572
GBM	0.0778917607800101	1.08100564512964	0.184710106166888	0.421697341831604	0.67324594492945	0.752666236181332	1.55257821943884
HNSC	-0.276682333546489	0.758295343846612	0.146413146999148	-1.88973694792653	0.0587931499854391	0.569129756083219	1.01033520450014
KICH	-0.2776242435959	0.757581434113979	0.802287566128579	-0.346040815434258	0.729312041090356	0.15722474845598	3.65037715086491
KIRC	0.227101634603287	1.25495740855726	0.153118544970501	1.48317523946586	0.138027857948791	0.929595997132815	1.69419629833856
KIRP	-0.277700723155102	0.757523496835376	0.349523106570225	-0.794513203662279	0.426896725400931	0.381840069680918	1.50283297595567
LIHC	-0.167033053552209	0.846171641896403	0.187500560301813	-0.890840290201489	0.373014856941287	0.58594614355504	1.22196631111098
LUAD	-0.254754667921897	0.77510663315806	0.156691992486453	-1.62583080270629	0.103985653730448	0.570144563655705	1.05375080473174
LUSC	0.0682328733358831	1.07061459704398	0.143593109162749	0.475182087314145	0.634657193476241	0.807990927350061	1.4185996112145
PAAD	-0.0662425238906806	0.935903857720596	0.213290482472007	-0.31057421373396	0.756124332852143	0.616138078116246	1.42162294785331
PCPG	-0.82151359185635	0.439765524991737	1.09944740992332	-0.747205900383761	0.454939282993512	0.0509764805556979	3.79378322832531
PRAD	-0.354454682946134	0.70155590931804	0.695091696671024	-0.509939457835146	0.610093877307152	0.1796383933768	2.7398413259391
READ	0.143386851316874	1.15417620990034	0.431090884599223	0.332613971761843	0.739425695401575	0.49582325496348	2.68668867416885
SARC	-0.183664722292424	0.832214780120482	0.217540132431925	-0.844279720891954	0.398513115349411	0.543331554896691	1.27469393965655
STAD	-0.150860654913008	0.859967522559817	0.171180000657782	-0.881298366242002	0.378156350140601	0.614855934737844	1.20279255362964
THCA	-1.11166156707937	0.329011831426937	0.756890986544024	-1.46872084202672	0.141908521997789	0.074635378547313	1.45036827474903
THYM	2.11680139933766	8.30453207852466	0.802974653082035	2.63619952536833	0.00838404167339044	1.72116261046185	40.0689932630707
UCEC	-0.369402652997928	0.691147061978631	0.232455068375356	-1.58913572235575	0.112029754386149	0.438232268826535	1.09002530224623
