	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0458475220591219	1.04691476737818	0.173765101162408	0.26384769871754	0.791897278198877	0.744735752621625	1.47170392491062
BRCA	-0.155872673183347	0.855668132934694	0.173311884127863	-0.89937671595763	0.368452037102412	0.609231029657766	1.2017903193986
CESC	0.330864589743807	1.39217126527654	0.298804287213171	1.10729532306799	0.268166265764508	0.775086183248295	2.50054880831337
CHOL	-0.170315632961836	0.843398570191806	0.510158420352464	-0.333848518748678	0.738493869096859	0.310302465115312	2.29234771930428
COAD	-0.173636494351234	0.840602405850983	0.205728305778201	-0.844008770180776	0.398664504824238	0.561661140223459	1.25807600725472
ESCA	0.0334638792449709	1.03403009310403	0.265595973184609	0.12599543149591	0.899735540894816	0.614408868628761	1.74023893214793
GBM	-0.252392210684312	0.776939954152012	0.190344083024684	-1.32597875738318	0.184846733763213	0.535015394313155	1.12825854877067
HNSC	-0.16704651923745	0.846160247692128	0.152510253566266	-1.09531336635584	0.273379373653883	0.627531679808224	1.1409577999205
KICH	-1.29864394455708	0.272901611946129	1.06121031632741	-1.22373852249323	0.221050882532301	0.0340959065445166	2.18428830175137
KIRC	-0.00415001265854045	0.995858586744003	0.153348097557383	-0.0270626941230068	0.978409729631927	0.737339559431247	1.34501711200298
KIRP	1.54654471851679	4.69521881959566	0.308882311927026	5.00690605709454	5.53119052575903e-07	2.56291815009869	8.60155435047207
LIHC	-0.314750199516257	0.729971198654291	0.182542146093283	-1.72426043109745	0.0846608390795179	0.510417514896913	1.04396486271127
LUAD	0.0266392612238949	1.02699725819863	0.15995989535677	0.166537125849448	0.86773426888299	0.750604518351666	1.40516522690761
LUSC	0.220354803417478	1.24651892131058	0.143577216106845	1.53474770853265	0.124845811946824	0.940774911724862	1.65162718714137
PAAD	-0.0703597997949394	0.932058405145443	0.225623227269497	-0.311846438181197	0.755157230017765	0.598952370340899	1.45042062377651
PCPG	0.284639909869959	1.32928328014123	0.868819618828497	0.327616807564456	0.743201412128162	0.242145800680117	7.29723180786143
PRAD	0.0617149182463497	1.06365907170784	0.69398528925278	0.0889282801841502	0.929138908248774	0.272948743413331	4.14499296343388
READ	0.229487341273686	1.25795494301517	0.398789137810343	0.575460361166672	0.564979991387829	0.575725090151455	2.74862198248126
SARC	-0.319702702606725	0.726364951383332	0.250781306878396	-1.27482668698967	0.202370592649351	0.444313434482661	1.18746362736574
STAD	0.263508878924183	1.30148885071117	0.172321480935958	1.52917023166784	0.126222248221719	0.928453465411399	1.82440293631187
THCA	0.184677379795787	1.20283032015987	0.516671097551965	0.357437024580638	0.72076466333506	0.436931274319013	3.31127768629248
THYM	0.531520885927294	1.70151815674973	0.678735830363554	0.783104209545845	0.433565919397623	0.449878876131053	6.43543004874407
UCEC	-0.522007330089613	0.593328345957166	0.310462501636354	-1.68138608475507	0.0926879466240093	0.322870923961019	1.09033827449501
