	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.127002812162671	1.13542021076333	0.153168302915513	0.829171635026376	0.407007293058614	0.84096810474156	1.53297021342566
BRCA	-0.049294744581297	0.951900520826117	0.175691732490922	-0.280575209102933	0.779036232786638	0.674594025572977	1.34319986124901
CESC	0.942505021016954	2.56640226440474	0.239293746038308	3.93869474911422	8.19260809296732e-05	1.60560060780996	4.1021537676955
CHOL	-0.609592672859725	0.543572235711425	0.504257307407195	-1.20889209517686	0.226704303464027	0.202317135634708	1.46043376162562
COAD	0.360434583642114	1.43395245144868	0.206779825659302	1.74308389366755	0.0813189615827506	0.956144308145454	2.15053273391749
ESCA	-0.0693402002534744	0.933009216108788	0.258400054390931	-0.268344371741386	0.788434254496606	0.562257695950649	1.54823349438038
GBM	0.0408714620187947	1.0417181965855	0.20043323751695	0.203915590673121	0.838419461460389	0.703300893788652	1.54297657045697
HNSC	0.179347463896894	1.19643639040327	0.141873838706193	1.26413344089678	0.206182135598381	0.905996215304769	1.57998456516694
KICH	-0.742057290320748	0.476133362667531	0.802126749237788	-0.925112260656908	0.354907516100909	0.0988455419163545	2.29350737170253
KIRC	-0.270233658671395	0.76320114493569	0.158778176415608	-1.70195718814687	0.0887633940410635	0.559096514007051	1.04181652548061
KIRP	1.06074651367257	2.88852650913798	0.303344858237332	3.49683366923153	0.000470815288571853	1.59392817002324	5.23460564340938
LIHC	-0.39235042036202	0.675467374961899	0.186482657003249	-2.10395125566655	0.0353826992283786	0.468673126554712	0.973506157675239
LUAD	-0.0137296461164354	0.986364175604312	0.159569841945994	-0.0860416100498625	0.931433339817034	0.721458234597604	1.34853861285293
LUSC	0.277482309505713	1.31980277097386	0.14187321582197	1.95584704200907	0.0504831753888286	0.999416086667556	1.74289705509783
PAAD	0.0892772082883126	1.09338370934652	0.212854230973156	0.419428863970159	0.674902733065084	0.720428274312854	1.6594128499532
PCPG	0.741651421623498	2.0993996473091	0.824584481602129	0.899424423053055	0.368426635097791	0.417068640786294	10.5677541970362
PRAD	-0.294756969344234	0.744712553455101	0.69832079898067	-0.422093928427288	0.672956459462296	0.189485914885789	2.92684966905269
READ	0.155341536734634	1.16805682730218	0.415473110624124	0.373890711004809	0.708485627626934	0.517383553458947	2.6370315459119
SARC	-0.0389919573816179	0.961758444171404	0.226244496458561	-0.172344335406893	0.863166831158343	0.617285880931102	1.49846178814228
STAD	0.303356483844129	1.35439719911364	0.167934737222535	1.80639508455086	0.0708566488371918	0.974540157213843	1.88231522260847
THCA	0.568811218380247	1.76616621702825	0.502927609288212	1.13100018347626	0.25805501420752	0.65908103682423	4.73286732873149
THYM	1.08014688920753	2.94511212448061	0.692143515500126	1.5605822564516	0.1186223479742	0.758487110833978	11.4355080025364
UCEC	-0.0732183691920284	0.929397856006074	0.235517958902042	-0.310882318840415	0.755890086442135	0.585771740656347	1.47460233192683
