	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.200825024260944	0.818055558907595	0.170125501683226	-1.18045220895149	0.23782040752858	0.586099985399006	1.14181012477595
BRCA	-0.194535840647055	0.823216673109554	0.178381576674374	-1.09056015914788	0.275466468427865	0.580330618219868	1.1677579462623
CESC	-0.82047550435684	0.440222277119266	0.298475333862864	-2.74888880678432	0.00597976678510176	0.245250189219042	0.790195733953077
CHOL	0.149851468017866	1.16166168600071	0.573103432560548	0.261473687826908	0.793727237986195	0.377792332512576	3.57195675133799
COAD	0.11689174140175	1.12399774068387	0.218412916027296	0.535186945570298	0.592520592403645	0.732574887537805	1.72456214723475
ESCA	-0.0170710869255081	0.983073798457062	0.262054867488253	-0.0651431781791778	0.948060002205051	0.588199449260565	1.64303807905247
GBM	-0.0585164465455693	0.943162728503315	0.20343368306823	-0.287643843748056	0.77361938008867	0.633028940305139	1.40523738457996
HNSC	-0.601373644422761	0.548058281590025	0.158600614694039	-3.79174850982064	0.000149590357678814	0.401629548186747	0.747872962473736
KICH	-0.718632489775055	0.487418349988405	0.801883102105569	-0.896181111546163	0.370156042029573	0.101236644313268	2.34674558325205
KIRC	-0.471000666716243	0.624377162128877	0.167011844940121	-2.82016324581716	0.00479992241536614	0.450076429282035	0.866179198075304
KIRP	-0.0701145032821075	0.932287063865427	0.330872624675895	-0.211907840217328	0.832178933890248	0.487427883330423	1.7831543889368
LIHC	-0.324017132952957	0.723237851073614	0.187137941335285	-1.73143474081738	0.0833742548583244	0.501174588726197	1.04369415567345
LUAD	-0.362572256132873	0.695884029973077	0.163378503147922	-2.21921641554398	0.0264720048091328	0.505206390999738	0.958528220938165
LUSC	0.0782613576572796	1.08140525528317	0.145069581673486	0.539474621450452	0.58955940377838	0.813776274608656	1.43705016064328
PAAD	-0.263791280404329	0.768133847512503	0.238208158852292	-1.10739817508896	0.268121814584801	0.481585885671056	1.22518044081005
PCPG	0.612549422145462	1.84512942142379	0.827886013875489	0.739895845417178	0.459363195533598	0.364190808922112	9.34812877864745
PRAD	1.05889725512085	2.88318981277562	0.643747907224576	1.64489428740223	0.099991613197208	0.81642072856452	10.1819848586024
READ	-0.595313210269787	0.551389837859275	0.465963272026844	-1.27759685367539	0.201391610528463	0.221222910377781	1.37431856752669
SARC	-0.25194241351195	0.777289498152542	0.224021171395766	-1.12463662225414	0.260743048264425	0.501066806128003	1.20578524968961
STAD	-0.247080818319675	0.781077565604076	0.18423749704914	-1.34109951707482	0.179888144089326	0.544340843847168	1.1207723439935
THCA	-0.166425783126625	0.846685652965559	0.539575154709578	-0.308438558881019	0.757748645428387	0.294059352340209	2.43786361233745
THYM	-0.367014673556314	0.692799479137636	0.708877507343614	-0.517740610689755	0.604639259710624	0.172667230940604	2.77974642715203
UCEC	-0.612031843658334	0.542247985879461	0.258170080151091	-2.37065365320469	0.0177566616029509	0.326921269659681	0.899399658200323
