	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.302720754195787	0.738805375869141	0.20038583059182	-1.51068942001403	0.130867599247501	0.498840055252365	1.09420520198003
BRCA	0.038725185150724	1.03948477854121	0.183404372152223	0.211146466664288	0.832772982330129	0.725611320396228	1.48912864841861
CESC	-0.0449704131788205	0.956025767178078	0.284206437167556	-0.158231508149507	0.874274376580328	0.547712483863325	1.66873185190445
CHOL	-0.304815363624676	0.737259486744901	0.534505218144058	-0.570275749005922	0.568490686407865	0.258612017914816	2.1018031380676
COAD	0.341972494436643	1.40772157680657	0.211013788611946	1.62061681696797	0.10509984331544	0.930896730103665	2.12878611957965
ESCA	0.0536782150085793	1.05514501769095	0.268935713448567	0.199594967586352	0.841797363876048	0.622864613567099	1.78743660196407
GBM	0.075589540848685	1.0785197949724	0.194797950235401	0.388040740456148	0.697985884645483	0.736233889657879	1.57993942480402
HNSC	0.200197555170532	1.2216440764264	0.145585438954651	1.37512073053468	0.169094018381936	0.918379420321851	1.62505193000152
KICH	-0.593579848920173	0.552346424508444	0.707314123342244	-0.839202596599306	0.401355630459255	0.138084417970589	2.20942070909293
KIRC	-0.585290451449275	0.556944073104231	0.203597001807139	-2.87474985512656	0.00404347704512037	0.373688303425031	0.830067994429908
KIRP	-0.619855908382043	0.538021956463834	0.724675708646978	-0.855356266238534	0.392353947020142	0.130003462040399	2.22661474620743
LIHC	0.272788525805622	1.31362241820659	0.185070319599728	1.47397230628667	0.140489047743497	0.913983614238974	1.8880030568729
LUAD	-0.358785030746453	0.698524496502298	0.163538638236979	-2.19388539989276	0.0282436492620471	0.50696420889836	0.962467297788301
LUSC	0.318200323290166	1.37465160838044	0.148219273382572	2.14682150322551	0.0318074947469484	1.02808298208286	1.83804914326519
PAAD	0.0276936429143937	1.02808067637163	0.210290069855043	0.131692585073006	0.895227450690325	0.680813194995248	1.55248148082108
PCPG	0.557315533292245	1.74597918060159	0.913154536211859	0.610318967043869	0.541650534989049	0.291581865623182	10.4548453058935
PRAD	0.366286520462273	1.44236845153079	0.660209011363613	0.55480387901058	0.579028813630873	0.395462479783304	5.26074370218714
READ	0.633435805893871	1.88407277983532	0.399677146266206	1.58486871669157	0.112996165558245	0.860779412787825	4.12385587640833
SARC	-0.162785631299212	0.849773333696277	0.229074310279692	-0.710623688446151	0.477317459790629	0.542393769554887	1.33134773884642
STAD	0.155224815097546	1.16792049775355	0.166726399318948	0.93101521853537	0.351845691986358	0.842355686985419	1.61931391946132
THCA	1.12458470288342	3.07893790933059	0.518958999388162	2.16700106214418	0.030234773132722	1.11342823380198	8.51411735549627
THYM	0.663708467620289	1.94198076992796	0.812332335254471	0.817040561868532	0.413905248367476	0.395172202669963	9.54340736845718
UCEC	0.38202656534145	1.46525100950932	0.336963165125605	1.13373390589754	0.256906182662525	0.756987072914738	2.83619178938065
