	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.356294058299364	1.42802740984051	0.157950733909356	2.25572904589245	0.0240876053523706	1.04782470795323	1.94618648307999
BRCA	-0.110411748610307	0.895465352764312	0.176394535461794	-0.625936332558453	0.53135670236908	0.633725942604207	1.26530751558977
CESC	-0.116842660458671	0.88972517110142	0.291161087030697	-0.401299025396043	0.688199981053052	0.502827603234583	1.57431866309484
CHOL	-0.413264340564245	0.661487401761764	0.574244319027147	-0.71966639785723	0.4717304199048	0.214646557068956	2.03853995454006
COAD	-0.0892355393612196	0.914630116807708	0.22265153909258	-0.400785638962571	0.688577953010136	0.591186031446942	1.4150338574885
ESCA	-0.27320602262651	0.760936001445114	0.29612648770835	-0.922599071568317	0.356216179699554	0.425877610450458	1.35960093718671
GBM	0.230154975975163	1.25879507780838	0.190818748953003	1.20614445508102	0.227761796445872	0.866023790101907	1.82970152324355
HNSC	-0.174910831963531	0.839531876840784	0.162681110112122	-1.07517604129318	0.282295919889341	0.610327275333553	1.15481283684498
KICH	-0.506743012652477	0.60245457379389	0.707302336363679	-0.716444703488044	0.47371680007765	0.150614736254736	2.40980081040221
KIRC	-0.491276609660367	0.611844808407529	0.172156951066983	-2.85365538025369	0.00432193868586818	0.436617377648598	0.857396175093462
KIRP	0.317649584828575	1.3738947433049	0.349404522201977	0.909116982306698	0.363288379285206	0.692691396186644	2.72500391382403
LIHC	-0.463120399019394	0.629316858814026	0.190856072353164	-2.42654264708133	0.0152434586239312	0.432924718201224	0.914800407870156
LUAD	-0.577330797016688	0.561394845270011	0.173386199176824	-3.32973904357814	0.000869274118791961	0.399651843226242	0.788596819050142
LUSC	0.0638346824509032	1.06591616954632	0.149931473691254	0.425759054315405	0.670283425783584	0.794513257830736	1.4300293535723
PAAD	-0.346589058403831	0.707095843655867	0.22219679850817	-1.55982921775125	0.118800244903121	0.457450415774959	1.09298082343719
PCPG	0.510105777159446	1.66546735403478	0.816791975519401	0.624523492453593	0.532283847016116	0.33595532884625	8.25639979244094
PRAD	-0.706561402988708	0.493337673651426	0.800894890054222	-0.882214897064548	0.377660607482178	0.10266474084076	2.37064895163279
READ	0.626301047617859	1.87067821628391	0.423584444479393	1.478574238928	0.139254141988995	0.815536412029895	4.29096351463811
SARC	-0.207171217005917	0.81288045911361	0.242295702035763	-0.855034634396194	0.392531974258262	0.505573390741999	1.30698065386506
STAD	0.22680268189818	1.25458229171907	0.177461769173257	1.27803685804998	0.20123643058595	0.886019788200698	1.77645775823072
THCA	-0.522196478360872	0.593216129539345	0.577970980602412	-0.903499476421105	0.366260866005377	0.191092287987383	1.84154672096907
THYM	0.0395332039475928	1.04032504120963	0.713679911688607	0.0553934660344509	0.955825001196183	0.256852389388305	4.21361153752654
UCEC	0.116981740244666	1.12409890373218	0.241566099770981	0.484263894460239	0.628198596387218	0.700137093545517	1.80478702959873
