	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0404610196955682	0.960346598384581	0.162122984749658	-0.24956991606123	0.802919965998594	0.698921930168279	1.3195545156335
BRCA	-0.227664422291485	0.796391466222009	0.18134000647391	-1.25545612751613	0.209313225021372	0.558174130230639	1.13627510327139
CESC	-0.0498848309395922	0.95133898300852	0.246846454139929	-0.202088505234571	0.839847533968983	0.586434092905722	1.54330362361314
CHOL	-0.516857724480597	0.596391633527459	0.501225590726578	-1.03118782050086	0.302452751024061	0.22329939479117	1.5928524162557
COAD	0.344492237371012	1.4112731459448	0.206482869556875	1.66838168275322	0.0952399821119223	0.941569843531218	2.11528853238904
ESCA	0.193149008849718	1.2130635372549	0.265974126841163	0.726194728576229	0.467719403093755	0.720254468761089	2.04306007007292
GBM	0.0117721526899854	1.01184171718609	0.184038362195265	0.0639657544740326	0.948997494913472	0.705437988360315	1.45133048904527
HNSC	-0.160557692738705	0.851668687055529	0.142024086502423	-1.13049621858307	0.258267190927558	0.644732493340948	1.12502403710451
KICH	-0.554568799198367	0.574319854993145	0.802777121206272	-0.690812910020478	0.489683121459258	0.119077225284844	2.76999480841387
KIRC	0.298770751933314	1.34820051568136	0.153546007997787	1.94580605402402	0.0516780411411149	0.997828467483383	1.82160029475582
KIRP	0.0696634305686639	1.07214726852505	0.325136905757076	0.214258760956261	0.8303452752348	0.566888187566476	2.02773631664522
LIHC	0.0492717003242832	1.0505057347176	0.183919877930576	0.26789763498474	0.788778114192447	0.732563951235653	1.5064381707742
LUAD	-0.172660218184318	0.84142346667151	0.152985243949332	-1.12860700631691	0.259063653785416	0.623438106588007	1.1356274869694
LUSC	0.198429776990575	1.21948638840323	0.142041610790182	1.39698343243718	0.162418553274236	0.923147119477529	1.61095346572973
PAAD	-0.0507059499220063	0.950558141136776	0.214853432376494	-0.236002512788126	0.813430720322883	0.623871451320264	1.44831243322522
PCPG	-1.11084780866581	0.329279676538747	1.09564659251889	-1.01387419652534	0.310642785352395	0.0384546493952981	2.81955776704388
PRAD	0.0443344647615237	1.04533192311844	0.647726292547334	0.0684462947878311	0.945430370300857	0.293703142696879	3.72048735827878
READ	0.312455956088083	1.36677774160963	0.440292561918481	0.709655313563833	0.477917909481915	0.576660480349837	3.2394822579592
SARC	-0.333132318551028	0.716675358436589	0.238463964090364	-1.39699228695532	0.162415890552097	0.449098472662742	1.14367694538104
STAD	0.0227750093546533	1.02303634004546	0.17107237912124	0.133130838956255	0.89408990626231	0.731600490166946	1.43056677397084
THCA	-0.0488744908645629	0.952300644628824	0.516747373076297	-0.0945810146524861	0.924647630336278	0.345874000310375	2.62198522278828
THYM	1.33225241462609	3.78956946352126	0.707738321278687	1.88240819321339	0.0597806143316375	0.946590019055852	15.1711262846153
UCEC	-0.504899996736324	0.603565930972055	0.241644112411517	-2.08943636862331	0.0366684602835208	0.375869318141437	0.969198110746256
