	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.000524686024031912	0.999475451599609	0.205845962795465	-0.00254892550189704	0.997966253897615	0.667660572579205	1.49619615022532
BRCA	-0.0915901896842366	0.912479016246418	0.258068715636389	-0.354906209605369	0.722659856333336	0.550242836180935	1.51318272650122
CESC	-0.174414841178128	0.839948380198124	0.465366581330339	-0.374790215231035	0.707816491860435	0.337389719131969	2.09109300429363
CHOL	0.0523205092259481	1.05371341326764	0.503100143894937	0.103996212008387	0.91717235465099	0.393081757882401	2.82463364181938
COAD	-0.143177915817332	0.866599873354216	0.212609610743403	-0.673431061355603	0.50067309318765	0.571274702030861	1.31459582899047
ESCA	-0.224543441475403	0.798880871382379	0.286049948900186	-0.784979834251796	0.432465392101271	0.45603257341137	1.39948478216481
GBM	-0.424032760984381	0.654402442689471	0.229845915959963	-1.84485662585471	0.0650583976227055	0.417061127891148	1.02681004859728
HNSC	0.0510824848711476	1.05240969758143	0.150510816873631	0.339394110883316	0.734312854437331	0.783555569123387	1.41351324042346
KICH	0.762855684301039	2.14439118938571	0.70742848936135	1.07835024426247	0.280877482481079	0.535969149492496	8.57962361727209
KIRC	-0.548412774595558	0.577866286911621	0.169400763320931	-3.23736896956353	0.00120637325097833	0.414603693821472	0.805418404431326
KIRP	0.0534754438459677	1.05493108639927	0.31861733004862	0.167835954930033	0.866712335751335	0.564958473989973	1.96984318014018
LIHC	-0.206206656998562	0.81366490935908	0.190284216644922	-1.08367714692465	0.278507971736659	0.560370633607237	1.18145124854339
LUAD	-0.0733930024908822	0.929235566363532	0.19510743607426	-0.376167120882815	0.706792657081823	0.633942799443944	1.36207673397717
LUSC	0.261821142485099	1.29929413312615	0.16119761004362	1.62422471657149	0.10432785762424	0.947318073241443	1.78204690912275
PAAD	-0.715504257240545	0.488945495316239	0.294488237633692	-2.42965309239463	0.0151132806986311	0.274531135873927	0.870821798150537
PCPG	-0.296547272651601	0.743380484866806	1.11907486284729	-0.264993239055596	0.791014670146774	0.0829187803866305	6.66452814071912
PRAD	0.380083064270944	1.46240605808234	0.691548114056126	0.549611887510833	0.582585603570406	0.377069283387299	5.67172021943586
READ	0.34769758944535	1.41580403091208	0.423357814852888	0.821285393222682	0.411483725807519	0.617504773441722	3.24613045948552
SARC	-0.168730205866559	0.844736777671997	0.308533381614612	-0.546878282614228	0.584462356851997	0.461420953287841	1.54648422111539
STAD	0.0479335421519095	1.04910093201729	0.1819354064545	0.263464616844095	0.792192492073394	0.734435353151557	1.49858358647454
THCA	0.190297168251198	1.20960900164453	0.517132830340358	0.367985084462635	0.712884355941908	0.438996185750934	3.33295364367837
THYM	0.431403162990523	1.53941606044762	0.820288089817872	0.525916648486639	0.598946120984441	0.308407922063001	7.68398487079057
UCEC	0.40673339561413	1.50190363818404	0.259622687982791	1.56663271139497	0.117200567223367	0.902923251118421	2.49823507767284
