	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.14470907529856	0.865273986073179	0.173793242185969	-0.832650760630339	0.405041722073331	0.615489390482895	1.21642888171892
BRCA	0.19502416780184	1.21534035823975	0.16990723648045	1.14782731943427	0.251039856908422	0.871109235228779	1.69559927346931
CESC	0.289386483086114	1.33560781862362	0.257026208850107	1.12590262440855	0.260206738395882	0.807045178229521	2.21034496368829
CHOL	-0.896125882579189	0.408147813344511	0.754101706220726	-1.18833557222703	0.234701228389502	0.0930946959877986	1.78941061862149
COAD	0.187435591166109	1.20615256003918	0.218750455720629	0.856846631695646	0.391529650417941	0.785600077219639	1.85183790108301
ESCA	-0.634378604486414	0.530264890186321	0.306429037453136	-2.0702300596543	0.0384308055857188	0.29084392912616	0.966775736420282
GBM	-0.204603123563871	0.814970694901461	0.187679924280367	-1.09017053554552	0.275638029876609	0.564142152515445	1.17732247198101
HNSC	-0.155557395125788	0.855937948852846	0.153619707116608	-1.01261353797341	0.311244790866872	0.63340421623332	1.15665439779224
KICH	-19.8414600462485	2.41525721987518e-09	8415.53023911613	-0.00235771953548734	0.998118813726801	0	Inf
KIRC	-0.372813318717532	0.688793805753518	0.170096944541701	-2.19176963890809	0.0283961444320118	0.493517379505174	0.961337789806127
KIRP	0.613596561414175	1.84706254084281	0.336251989993409	1.82481168788385	0.0680294514893308	0.955571939053315	3.57025974743943
LIHC	-0.395042899340242	0.673651139439545	0.198025817987546	-1.99490603475294	0.0460531292203496	0.456956823529481	0.993104456046972
LUAD	-0.278653721595775	0.756801922008572	0.165345417930801	-1.68528239296232	0.0919341010804588	0.547318277434329	1.04646450295932
LUSC	0.0744435395261879	1.07728451781084	0.161130815552231	0.46200684376265	0.644076412663506	0.785553231627987	1.47735619381238
PAAD	-0.480767847572246	0.618308442848534	0.225360462656862	-2.13332827730422	0.0328978061132455	0.397537409280296	0.961683910930311
PCPG	-19.7275520874885	2.7066555259208e-09	10592.7731370046	-0.00186235953818106	0.998514052936794	0	Inf
PRAD	-0.394602525672479	0.673947862992438	0.700116204108141	-0.563624328871451	0.573009825950678	0.170878060949002	2.65806926594064
READ	-0.212544952879123	0.808523970024231	0.405850651927806	-0.523702381330487	0.600485559084271	0.364949017309499	1.79123926657777
SARC	-0.149319714856195	0.861293702482353	0.235045219851931	-0.635280798096046	0.525245294778793	0.543350934002608	1.36528124921232
STAD	0.192779658435378	1.21261557446751	0.172212552657289	1.11942860994006	0.262957331185853	0.865237933314621	1.6994591601042
THCA	-0.482129033450035	0.617467382677486	0.580059207997116	-0.831172105886873	0.405876410321123	0.198091904858909	1.92469232370774
THYM	-1.31785063204615	0.267710091519076	1.06473825823785	-1.23772262511465	0.21581892694307	0.033216807832392	2.15760326708044
UCEC	0.0845529639282177	1.0882304796667	0.22125757274217	0.382147209156754	0.702352176441121	0.705319836710841	1.67901924097042
