	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.158844730462485	1.17215593244092	0.160695789328851	0.988480974678323	0.322917147554975	0.855462321667333	1.60609005815541
BRCA	0.349941306615336	1.41898426116	0.176345831095679	1.984403625768	0.047210862160954	1.00431912951298	2.00485709596728
CESC	0.127818582918257	1.13634683127014	0.279076486208	0.458005562041481	0.646948445280901	0.657598129958416	1.96363715483702
CHOL	-0.503640123415167	0.604326826801578	0.528039307594267	-0.953792863848979	0.340188502341729	0.214686136275855	1.70113878766161
COAD	-0.260057495529948	0.771007255058446	0.21568204969696	-1.20574473348772	0.22791593097027	0.505207246366967	1.17665016016213
ESCA	-0.457692797158419	0.632741826440433	0.29068540743729	-1.57452966488233	0.115365048958483	0.357927178040701	1.11855774998357
GBM	-0.0818256162280872	0.92143262758408	0.305668792515609	-0.267693720234488	0.788935083987533	0.506148365229677	1.67744903570168
HNSC	0.0340851907624059	1.03467274753388	0.172479987900376	0.197618234888174	0.843343766783741	0.737883464836219	1.45083572881921
KICH	0.523832489652623	1.68848637184923	0.671273515344565	0.78035625967418	0.43518120628087	0.453010749500793	6.29341849186202
KIRC	-0.209551330332192	0.810948012133877	0.164365602551304	-1.27490987821971	0.20234114229293	0.587604020991374	1.11918342096155
KIRP	-0.28807280498354	0.749707007845691	0.391133958663459	-0.736506760926388	0.461422354582523	0.348303421895622	1.61370966312635
LIHC	-0.764660968542453	0.465491720561483	0.211182479507146	-3.62085420309017	0.0002936319569673	0.307718146869297	0.704159127811611
LUAD	-0.396416143905654	0.672726686568545	0.180763404178641	-2.19301105612003	0.0283065825242786	0.472033224106054	0.958748604356321
LUSC	0.227069809056847	1.25491746948752	0.153275956575285	1.48144441000644	0.138488187945963	0.929279666108992	1.69466513974088
PAAD	-0.185367441602208	0.830798957660673	0.218094083617885	-0.849942550147225	0.395357027406806	0.541818615807449	1.2739077025278
PCPG	-19.6020210290887	3.06867173344086e-09	11231.512633914	-0.00174526990869419	0.998607476792349	0	Inf
PRAD	-19.7412227257538	2.66990558721317e-09	8478.01836197534	-0.00232851851492737	0.998142112706306	0	Inf
READ	-0.311971756929674	0.732002201926035	0.447593476566723	-0.696997997653275	0.485804046914466	0.30445291001156	1.75996748923904
SARC	0.400554586044626	1.49265227225907	0.269018333105884	1.48894902968182	0.136500791196467	0.880987661700827	2.52899206508611
STAD	0.158591393905216	1.17185902010338	0.172950489034838	0.916975689344656	0.359155379400917	0.834948413973937	1.64471665556157
THCA	0.741359959124218	2.09878784020465	0.540966630560191	1.3704356558121	0.170550948171038	0.726937224687841	6.05954716390049
THYM	-0.801032191566539	0.448865409829428	1.06210589406025	-0.754192398372189	0.450733701454557	0.0559822002365129	3.59900388498718
UCEC	-0.170576830066872	0.843178305694356	0.291176480839976	-0.585819395765751	0.557996888230396	0.476507295380222	1.49200161694547
