	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.131293530549236	1.14030244579567	0.158387207738842	0.828940243493149	0.40713822177118	0.83598911005627	1.55539067703893
BRCA	-0.313244917152706	0.731070838852387	0.171981404226274	-1.82138829812421	0.0685478527032904	0.521877561332353	1.02411870335227
CESC	-0.0591266203964137	0.942587410809047	0.247012464275542	-0.23936695085337	0.810821054589442	0.580850335100414	1.52960405344711
CHOL	-0.0450072872000053	0.955990515313628	0.488190049704827	-0.0921921436686756	0.926545379906953	0.367202356698454	2.48886710201625
COAD	-0.325050638371894	0.722490766959587	0.229476862315313	-1.41648545780297	0.156633418919187	0.460788086541086	1.13282639805252
ESCA	-0.529722014210349	0.588768616240299	0.272993497202615	-1.94041989878312	0.0523286802205522	0.344803897452101	1.00534966695866
GBM	0.310073023171364	1.36352467939317	0.187988411173274	1.64942626641789	0.0990603372646115	0.943293794131941	1.97096552832213
HNSC	-0.423772254344956	0.654572941077665	0.147333283336284	-2.87628324536627	0.00402388452141109	0.490396915860572	0.873712132628673
KICH	-0.568582023099151	0.566327909516539	0.802200133422304	-0.708778270421742	0.478462084318701	0.117553069387648	2.72836177539294
KIRC	-0.462213019896716	0.629888146941526	0.161099574820642	-2.86911384099751	0.00411623617175643	0.45934101878233	0.863757124737521
KIRP	-0.577466654346529	0.561318580846005	0.313595940442246	-1.84143536275425	0.0655577846134897	0.303582036564799	1.0378695418486
LIHC	-0.593935143650714	0.552150213592799	0.190430274026681	-3.11891135317853	0.00181520564733786	0.380156745821066	0.801958301994914
LUAD	0.123748003817158	1.13173064326043	0.151317290741812	0.817804781003551	0.413468667639772	0.841281935926867	1.52245542688795
LUSC	0.306704569243692	1.35893943625705	0.142514633573653	2.15209176456383	0.0313901276526285	1.02775932520198	1.79683739775525
PAAD	-0.0790744902191453	0.923971095072205	0.213103184470138	-0.371061983028347	0.710591366002759	0.608505665029413	1.40298214723714
PCPG	-1.31753917338587	0.267793485131683	1.09586079844802	-1.20228698321155	0.229252358386362	0.0312609091657912	2.29402639247129
PRAD	0.22574306994775	1.25325362538964	0.657179503613888	0.343502907054113	0.731220154217331	0.345658118749328	4.54392523813773
READ	-0.127251913179378	0.880511832120951	0.425441302349078	-0.299105687380975	0.764859406921174	0.382471345089923	2.02708280360902
SARC	-0.135752359731351	0.873058810238771	0.232124348767389	-0.584826023001095	0.558664704619586	0.553935113217674	1.37603063598536
STAD	-0.0199070501710732	0.980289786840182	0.171784668149854	-0.115883742044474	0.907744680847599	0.700053293797078	1.37270701344878
THCA	0.590106686196087	1.80418088632649	0.506876361542417	1.16420241891021	0.244341990207321	0.668076409143392	4.87229997353073
THYM	0.549752262372021	1.73282367905995	0.672316510192256	0.817698589931718	0.413529315828679	0.463956777137182	6.47189145773168
UCEC	-0.620451085990247	0.537701833117199	0.232210118554613	-2.67193819912858	0.00754145361184884	0.341101717222633	0.847615965383394
