	idx	beta	pval	cilb	ciub	i2	tau2
ADAMTS8	27994	-2.12786777695368	2.28673668002336e-08	-2.8741032773456	-1.38163227656176	98.7572127872762	3.11754959297662
ADCY4	3780	-0.781176450648479	0.00130795327323497	-1.25752014683216	-0.304832754464797	98.5995061173657	1.28522379276588
AKAP12	16709	-1.57760241992771	1.60715666471458e-09	-2.09010477277884	-1.06510006707657	97.1534597072907	1.4134214383785
ANKRD35	6805	-1.19022466045623	1.34456327303411e-05	-1.72616432112136	-0.654284999791107	98.3210557305161	1.54907717401862
AVPR1A	10728	-1.83138528490397	0.000310925465157754	-2.82678911229924	-0.8359814575087	99.0322180151389	5.7162221999854
BCL6B	2883	-0.461858466591912	0.0884272084482185	-0.993171318385645	0.069454385201822	98.7420676340542	1.59577414699445
C2orf40	27428	-3.7502656205231	6.80989351551429e-13	-4.77354030515719	-2.72699093588901	98.9402844525389	5.954124139043
CCDC8	10368	-0.999245564319358	0.000483293666785721	-1.56044043439508	-0.438050694243631	98.476189906252	1.80625568346249
CLEC14A	5046	-0.713891263296648	0.00751612993345405	-1.23733542314239	-0.190447103450908	98.9200515113235	1.55716025680803
CLYBL	13840	-0.761522007673848	1.11073804291157e-06	-1.06794306045473	-0.455100954892962	98.477720283825	0.531180822238421
CYYR1	11925	-1.15290060897416	6.54753148649527e-06	-1.65416469560607	-0.651636522342245	99.0915257382918	1.44921176507406
EBF1	16861	-0.928866612822445	0.00731590194781051	-1.60763964162051	-0.250093584024375	99.0584111835927	2.596042601344
EDN3	25875	-3.39457114033637	1.48697981347886e-08	-4.56941977751442	-2.21972250315833	97.8467946875231	7.4717925472092
FLI1	21282	-0.699808649529347	0.000890961233775809	-1.11258415937429	-0.287033139684404	98.5855445945194	0.971396631551982
GNAL	16554	-0.936222387599669	0.000677113196784577	-1.47612638485685	-0.396318390342488	99.0340167014936	1.64592282735767
GRASP	15082	-1.0966898300524	1.86648004102426e-07	-1.50908506094992	-0.684294599154885	97.4088306955847	0.942651744794606
HOXD9	26819	0.755167790359785	0.210383064420732	-0.426538027386928	1.9368736081065	99.5295037737822	7.9495402569936
HSPB6	11392	-3.00963182311759	4.01849080093333e-13	-3.82270160559728	-2.1965620406379	98.6277311713338	3.59559062715606
INPP5B	2174	-0.36470014027091	7.54408584628138e-07	-0.50919722623602	-0.220203054305801	96.5859422213326	0.110272997881009
IQSEC1	1970	-0.432312355596959	0.00271972610987667	-0.71496237325823	-0.149662337935689	98.7231290263443	0.454979023779411
KCNA4	30605	-3.98058144039438	5.29555058245811e-10	-5.23689187858871	-2.72427100220006	97.345508460542	8.38198703539574
KL	22355	-1.60828218389945	0.000146193010161599	-2.43835926819783	-0.778205099601066	99.0802919969641	3.83841615646501
LEP	16383	-1.37736495112866	0.0619014925529695	-2.82331284134287	0.0685829390855466	95.6111952361502	11.0661128892785
LTBP2	20781	0.0147766048356573	0.949704585933055	-0.444364848842226	0.47391805851354	97.9392811670796	1.15941802437909
LVRN	29169	-1.15413881512878	0.00699633648561223	-1.99286885608567	-0.315408774171887	97.1400404254413	3.80324325315918
NAALADL1	10601	-0.881202177540557	0.00190551728069189	-1.43751786295941	-0.324886492121705	99.0916604061974	1.75321161359643
NKAPL	19252	-2.35468647828413	2.79748042333212e-14	-2.96134894495577	-1.74802401161249	98.4790962891421	2.02637421389123
NR5A2	826	-0.52389912407122	0.140998341606918	-1.22142983017428	0.173631582031836	98.9002805950507	2.71602272203656
PDE1B	16267	-1.1302390914727	1.90850867772049e-05	-1.64838056481384	-0.612097618131567	98.2451753035825	1.47413047308297
PEAR1	4350	-0.905680120938431	0.000289403050228369	-1.39541631395617	-0.415943927920689	98.7896168018036	1.36250075414043
PPP1R16B	10125	-1.36413040111159	4.34873975727133e-06	-1.94611971444444	-0.782141087778733	98.3401613324149	1.89161253330189
PRDM16	15876	-1.67032172358414	4.16065698476309e-05	-2.46911943886874	-0.871524008299546	99.0802142639375	3.60813922630052
PTPRG	29173	-0.236565887305454	0.143464512354798	-0.553488169562086	0.080356394951177	97.9382295083607	0.534851669523721
RARRES2	14494	-1.16327346552845	0.00157682161892017	-1.88474757353724	-0.441799357519657	99.0735285234606	2.95105857853202
SCN4B	21691	-1.23906970533717	0.000138486636800176	-1.87633656609436	-0.601802844579971	98.9644059189365	2.32578927763739
SSTR1	23425	-2.58327777334906	2.45329803178724e-07	-3.56427055057838	-1.60228499611974	99.2104837914518	5.52476386460258
TAL1	30047	-1.34368663323347	4.70167758597196e-08	-1.82582914613182	-0.86154412033513	98.4588689731215	1.31356759780677
TBX15	30353	1.30723667052272	0.0111678250129062	0.297489067270006	2.31698427377544	98.964407925894	5.81634535802305
TCF21	5913	-3.32293085749045	4.214877659878e-12	-4.26276189637181	-2.38309981860909	99.2318701815421	5.09287256334515
TMEM220	18404	-1.63691295802068	1.08523448534813e-12	-2.0875636235958	-1.18626229244556	99.2957993259531	1.19326110134928
